Provider Property ID,Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
723273,102025036,Family central in Kalamata,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
737366,103047541,Host   Stay   Kulla Loft,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
737281,103047534,Host   Stay   Princess Place Townhouse,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
737290,103047533,Host   Stay   The Beach House,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
737282,103047532,Host   Stay   The Lodge,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736179,103047527,Host   Stay   Marsden Beach House,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736174,103047518,Host   Stay   19 Garswood,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
735787,103047517,Host   Stay   York City House,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736070,103047531,Host   Stay   Apartment 1  Fourth Avenue,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
737285,103047535,Host   Stay   Cobblers Cottage,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
737280,103047528,Host   Stay   Princess Place Studio,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736177,103047519,Host   Stay   Anchor Reach,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
740723,103008112,Hanbury 96     Cristallo,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
735523,103047513,Host   Stay   Roper Road Villa,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
735786,103047510,Host   Stay   Mollymac  Ground Floor,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736119,102779602,Friendly Studio  Apartment with Beautiful Living,N/A,TRUE,N/A,TRUE,TRUE,TRUE
723272,102025037,Santa Barbara s cute apartment,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
737354,103047537,Host   Stay   Grange Cottage,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736180,103047529,Host   Stay   The Harbour Den,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
736315,103209441,Bella Vista Luxury Apartment,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
736326,102811966,Southern View 5   By My Getaways,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
694954,96390116,Modern apartment in Acropolis museum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
736175,103047520,Host   Stay   Apartment 2  Fourth Avenue,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
730672,102734437,Kastro Boutique Apartment  Naxos old town,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
345754,95533480,Studio on Agia Efimia seaside,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
355542,95130501,Delphis   the artist s house,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
345757,95533484,Agia Efimia Seaside in Agia Effimia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
345755,95533481,Myrtos Cottages Polimnia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
737337,103047539,Host   Stay   Kingfisher Cottage,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
737283,103047538,Host   Stay   57 Woodland View,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
704665,101734803,Loft    Centre Square Penthouse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
345753,95533478,Agia Efimia seaside 2b r apartment,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
345756,95533482,Myrtos Cottages Cleo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
735691,102729217,TheaSea Luxury Suites -  Apartment Suite,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
735779,102767037,Evridiki Studios - Lefkada town,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
736178,103047536,Host   Stay   Hideaway,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
736176,103047523,Host   Stay   Beachside Cottage,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
735566,103730797,Villa Erato     Agios  Onoufrios,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735570,103730776,Villa Maria - Agios Onoufrios,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735571,103730771,Angelos Apartment in  Center,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735573,103730770,Harmony Apartment in Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735599,103730699,Valentina s Apartment in Center,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735601,103730698,Villa Hope in Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735602,103730694,Luxury House Vavourakis,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735589,103730754,Maria s House with View in Kambos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735578,103730761,Snepa House on the Beach in Kolimbari,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735585,103730758,Villa Blue Dreams in Maleme,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735592,103730748,Soko Guest House in Astratigos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735593,103730732,Kayzo Luxury Apartment With Pool,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735595,103730710,Dreamy Apartment near the sea,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735607,103730673,Rias Sea View Apartment,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735603,103730693,Chrisy s Apartment in Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735606,103730675,Emmanouel Maisonette near the Sea,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735608,103730665,Stone Gea Apartment up floor,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735541,103730912,ILIAS VILLA IN CHANIA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735548,103730889,Mirsini s Apartment in Chania center,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735549,103730888,Ilia s Apt in Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
742388,103172751,Sunny Palm Room Crete,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
718564,103094492,Amare Luxury Living Volos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735546,103730897,Kostaspant apartment,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735550,103730885,Platania s   Horizon,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735556,103730849,Villa Akrolithos with Private Pool,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735561,103730827,Villa Alimedon in Almyrida,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735565,103730798,Villa Kalliopi - Agios Onoufrios,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736317,103209444,Ecoscape Luxury Villa Lamia,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
741011,103209440,Central Apartment in Agios Konstantinos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
741534,103357907,Villa Maria Kineta town,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736821,103114387,Urania -Loutra Resort,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720821,103114369,Villa Hidden Gem Crete,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720792,103114367,DM-Discover Margarites Home,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720757,103114359,Roupes Stone House in Roupes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720767,103114357,Village Little House at Roustika,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720772,103114362,Victoria s House Roustika,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
741038,103063364,The West Kensington Hideout - Cozy 2BDR Flat with Garden,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735610,103730640,Nicole Studio in Center Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735612,103730639,Sofie s Garden View Apartment,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735540,103730915,Chrissoula House In Agioi Apostoloi,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735542,103730905,Villa Elina Luxury Residence,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735544,103730898,Thymes  traditional house,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735547,103730896,Traditional Villa in fres,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735551,103730868,Traditional Stone House Rafael,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735553,103730858,Platania s  Paradise,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
741035,103063361,The Harlesden Place - Modern 3BDR Flat with Balcony,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736522,103114383,Maroulas Natura Palace,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720816,103114368,Stef House Crete in Rethimno,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
741037,103063363,The Harlesden Hideaway - Lovely 2BDR Flat with Balcony,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
741036,103063362,The Harlesden Hideout - Charming 2BDR Flat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735564,103730812,House near Balos in Kissamos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735569,103730777,Villa Christina  Agios Onoufrios,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735584,103730759,Ortansia House  near the Sea,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735591,103730751,Nick s Apartment in Kambos,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735543,103730900,Irene s studio in chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735597,103730700,Venetian Kamara in Old Town Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735600,103730697,Cozy Studio in the Heart of Chania,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735555,103730852,Katerina s Apartment in Chania Center,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
735557,103730846,Marianthi s Maisonette,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736723,103114384,Villa Theros Maroulas,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720777,103114363,LoveBirds Rethymno Suite,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
720781,103114356,Fortezza Side Suite three levels with Jacuzzi,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
736944,103117912,Casa Vardani  Modern   Central Apartment,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
