Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
104376827,Clifton House - Waterfront Family home in PEC,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104377320,Romantic Zone Alta Vista 1 bedroom  2 bed  2 bath,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
105312454,Island Villa Sani Sea View,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
104377368,Neptune Place II - Stunning Beachfront Retreat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104377358,The Rosemont IV - La Jolla Ocean View Retreat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377370,Neptune Place - Panoramic Ocean Views,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377318,Breathtaking ocean views  quiet  penthouse,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
104377374,The San Diego Studio - Free Parking,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377372,Neptune Place III - Entire Home Beachfront Retreat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104376744,Alphabet 1BR Serviced Apartment -NB304 306-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104375832,Vacay Spot Experience Luna Sky  65  TV BAR  BBQ go FL Keys,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104376725,Alphabet 1 BR apartment SS177,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
104377179,Studio 6min  Walking to Miami Beach Pool   Kitchen,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377321,Casa Natalia  Playa Esmeralda,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104248232,Beachside Paradise Retreat with Luxury,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248228,Adventure awaits  Close to the Beach ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248203,Stunning Views  Beach Club  2 Pools and Amenities ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242686,w    Spectacular 1BR with terrace at Poblado,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104949919,Luxury Garden Villa with private pool,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377367,The Rosemont III - Steps from Windansea Beach,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
104377624,Stylish Luxury Apartment in The Centre of Henley,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
104376842,Welcome to Margaritas on Main ,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376835,The Nest PEC  Waterfront Home on Huyck s Bay,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376826,Picton Place Centrally located in downtown Picton ,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376741,NB306 Serviced Apartment 2 5BR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104376738,LK 2BR Serviced Apartments,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104376739,NB304 Serviced 2BR Apartment,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
104376733,2 Bedroom Serviced Apartments -BS3-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104376819,The Porch - In Wellington  Perfect Spot to Relax,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376722,Spacious 2 Bedroom Serviced Apartments 71-77M2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248199,Great pools and easy access to ocean - Get Beach Dazed ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248196,Cute Beach Bungalow  Walk to the Beach ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104248194,Backyard Oasis  Hot Tub and 2 Shaded Decks ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242414,Stunning 2BR apartment w  terrace n AC in CTG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104377621,Modern Luxury Apartment In The Heart of Henley,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
104376844,Ashton House PEC Welcomes You to The County,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376742,Souterrain 2BR Serviced Apartment,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104376821,Marina   Main - Heated Pool  Sauna  Games Room  Movie Theatre ,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376731,Serviced 3BR Apartment in Utrecht,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376726,Serviced 1BR Apartments in Utrecht,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104376727,Wonderful Studio Penthouses,N/A,TRUE,N/A,TRUE,TRUE,TRUE
104376724,Alphabet Studio Apartments including City view,N/A,TRUE,N/A,TRUE,TRUE,TRUE
104242014,w    Welcoming Loft in Candelaria,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242062,w    Spectacular 3BR w  AC in Cartagena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104242306,w    Incredible 2BR w  unique view n AC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
