property_id,property_name,listing_id
8312996,Paphos pool complex Retreat,106878782
8298136,Little Greenwood Shepherd Hut,106847715
8311549,Affluent Living Apartment perfect for contractors,106901303
8299312,"The Highlands, 4 bed 5 bath 10 min to N'mkt races",106884784
8321366,Enchanting Enfield Studio free parking,106925404
8285445,Cosy Feltham Apartment with 2 Bedrooms,106671479
8262223,Family 3 Bedroom Caravan at Heacham Beach,106847937
8311346,Light filled studio with view of Regents Park,106852795
8321797,Purbeck Inn Apartment in Bournemouth Town Centre,106915455
8269036,Charming Studio in Praha 3,106737418
8284798,Urban Elegance Blackbrick Studio Sandton,106728358
8284877,Cozy Studio in West Molesey,106900922
8297082,Santya Loka Lodge and Twin Waterfall,106737074
8208359,Drayton Dream House - 6 Bedrooms,106901454
8291418,"4 bed room Bungalow , open fire ,perfect choice",106824555
8302335,Coastal Cabin Retreat in Rhyl,106844902
8311623,Generously large 1 bedroom apartment in Farringdon,106852809
7860463,Chic 1 bedroom apartment in Bloomsbury,106852812
8283794,Cozy House in Bridgwater - Sleeps 6 - Long stays,106647279
8326131,"Family house in Richmond, London",106941612
8268814,Beautiful luxury house w sea view & outside space,106643897
8314042,Claverley Hideaway Apartment Bridgnorth,106877727
8312165,Spacious 4 bedroom house - sleeps 8,106852805
8320664,London Luxury Apartment - Finchley Road Retreat,106925717
8321151,Urban Oasis in Birmingham City Centre,106918395
8276221,Apartament Jardins d'Aro,106646772
7998584,Charming 4-Bed House in Sheffield,106916102
8314171,"The Rock, Solihull Retreat Birmingham Airport",106880962
8324210,Seaside Serenity Lodge - Skegness,106925287
8316382,Luxurious 5-Bed House in Norwich,106901557
8309205,Abu Dhabi Oasis Retreat,106849482
8258660,Andalusian Guesthouse Java with privat Pool,106699465
8307767,Seaside Escape Chalet in Bridlington south shore,106848047
8324389,Birmingham City -No Deposit Required- Free Parking,106925809
8278683,Luxury Villa Paradise in Castell-Platja,106736932
8096143,Your home of freedom,106900956
8320532,Stylish One Bedroom Flat In Finchley Road,106918269
8320201,One Bedroom Flat in Gravesend kent,106915797
8325177,Oroklini Oasis - 2 Bed Apartment,106940236
8286864,Rockpool Cottage 5 Buckingham Mews Coastal Retreat,106672408
8312868,Classy Comfy Studio Apartment in Blackpool's Heart,106879132
8311953,Charming London City Apartment,106852796
8323627,Fresh 2Bed 2Bath apt point 2 miles to ManU stadium,106925747
8215896,3 Bedroom Apartment 2 mins from the Arenal Beach,106792263
8067914,Porto Sharm with Sea View Sharm Apartments,106790673
8326800,Cozy 3 bedroom villa close to the beach,106944218
8271715,"Aurora House 101 , 2-Bed Apartment in Reykjavik",106675056
8315978,Spacious 2BR in Palm Jumeirah,106901352
8311667,Perfectly located apartment above tube station,106852801
8197452,Countryside Cottage Retreat at Ty'r Cwm Farm,106909662
3409324,HERMOSA VILLA HOSPEDAJE,73236041
8313580,Caravan in Dawlish warren,106878049
8313768,Charming London Apartment  Durban Road,106880797
8312479,Tranquil  holiday home Skegness,106878964
8294605,Romford Gardens Retreat - 5 Bedroom House,106717458
8292728,Cosy flat for 1-3 not far from city centre,106900826
8278177,Seaside Villa Retreat - Eastbourne,106880034
8315106,Stylish Two Bedroom House In Kilburn,106878515
8294250,Stylish City Centre Apt- 25 Off Monthly Stays!,106727248
8309386,Charming London Apartment near Attractions,106848995
8327122,Luxury Studio - Ideal for Couples,106942161
8312353,London Retreat - Cozy House in Springbank,106847483
8286106,Charming Reigate Cottage Retreat,106671207
8253320,Private swimming pool in a oasis in Ko Samui,106727555
8300462,Luxury apt near beach w big terrace and sea view,106792557
8312009,Friendly Retreat at Windermere Way upto 6 guests,106848048
8169098,Buxton Blissful Retreat - Spacious 5 Bedroom House,106848961
8319243,Cozy City Apartment in London,106916022
8310475,Elegant London Apartment With Free Parking,106850858
8311217,Newly renovated large 4-5 bedroom house,106852807
8311862,Beautifully presented centrally located studio apt,106852800
8309692,Lewisham Apartment Escape,106848997
8206161,Serenity House in Lekki Phase 1,106725262
8270168,Aristovoulou Apartment in Athina,106847471
8312970,Fabriano Blissful Retreat - 3BR House,106901075
8277476,Norwich Luxury Getaway with 4 Bedrooms & annex,106793042
8314344,Cozy Studio Attic Retreat in Bettws Newydd,106879235
8264111,Relaxing Retreat in Condado de Alhama Jardin 7,106528468
8285624,Crynallt Road Apartment - Neath,106674544
8214573,ml accessible caravan in ingoldmells skegness,106915639
8310433,Tranquil 3 Bed - All En Suite - Cottage in Hexham,106847970
8288615,The luxury Annex at Barmby Moor House,106675704
8141130,Family Friendly 3 Bedroom Caravan pets go Free,106901420
8315806,Charming Coastal Retreat in Bournemouth,106901151
8297062,Embrace Ancient Bali at Umah Bali Kuno Villas,106737075
8290513,Cozy Studio at Crackstone Barns in Minchinhampton,__CREATING__
8290849,Snowdonia Holiday Sea Beach and Mountains view,106791263
