Provider,Provider Property ID,Expedia ID,,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
Avantio,6b92a3b3-7650-4174-b9e7-d2728a3729c6,107403831,107403831,RENTERS,Comfortable Wroclaw Studio by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,16,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,b53c0f84-3529-4600-938b-46ae19719632,107042528,107042528,RENTERS,Gdansk Apartment with Desk by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,20,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,aa5fc1a1-5eb9-4858-a3f7-9854d141393c,106994241,106994241,RENTERS,Studio with Swimming Pool by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,19,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,41
Avantio,016a532c-4903-4a75-99fb-4bd2d872849c,106804168,106804168,RENTERS,Apartment for 6 in Ochota by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,25
Avantio,9afc67f7-31bb-46bf-95c2-10ab96fbaf8f,107454877,107454877,RENTERS,Bright Apartment Gdynia for 4 by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,0ee947d4-0265-436b-ba7b-84a203753320,107403620,107403620,RENTERS,Bel Mare Stylish Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,43
Avantio,e6d24eac-45ac-4795-b58c-f812a8c5d4fd,107301571,107301571,RENTERS,Cozy Apartment with Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,23,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,6
Avantio,c42d8d40-f0ef-4c75-adcc-f0aacd3a4042,106286427,106286427,RENTERS,Góralski Apartament Zakopane by Renters,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,TRUE,6,9,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
Avantio,cc51fed3-48f8-4938-91d3-9161b077751e,106987020,106987020,RENTERS,Sunny Apartment with Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,40,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,123f343c-9f3a-4d5c-8cba-0ccddbde7e7b,106945938,106945938,RENTERS,Modern Apartment with Parking by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,30,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,34
Avantio,4ca89dda-795f-455a-9b75-3599a2752f5f,107195656,107195656,RENTERS,Unique Apartment for 5 by Renters,POL,OnboardingSucceeded,,,FALSE,FALSE,N/A,TRUE,6,24,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
Avantio,b88ea254-86a6-4961-ba71-964b6b263115,107195470,107195470,RENTERS,Traditional Gdansk Apartment by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,21,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
Avantio,3d2bfbd7-9098-4ff0-984e-685b58c02f80,106026603,106026603,RENTERS,Poniatowskiego Studio by Renters,POL,OnboardingSucceeded,,,FALSE,TRUE,N/A,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
