Provider Property ID,Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
797217,110911107,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797432,110909871,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797186,110868086,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798101,110866211,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798065,110856551,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798019,110838696,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
709681,110822570,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801891,111018591,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798184,110891493,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797929,110934379,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797940,110934382,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801777,110968761,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798167,110886119,,,,,,
797964,110934374,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796596,110885163,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796594,110885161,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798262,110920721,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796590,110885157,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798259,110920734,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796589,110885156,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796588,110885159,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796584,110885154,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796571,110885188,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798238,110920636,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798150,110881761,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798260,110919239,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797207,110868096,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798247,110919214,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796610,110885176,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796606,110885172,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796580,110885146,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796578,110885147,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796572,110885141,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796603,110885189,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797214,110915446,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797213,110843664,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798164,110886118,,,,,,
801841,110996293,N/A,TRUE,N/A,TRUE,TRUE,TRUE
796568,110885143,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798159,110883581,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798158,110883510,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798233,110920635,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798236,110920634,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798232,110920631,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798142,110879387,N/A,TRUE,N/A,TRUE,TRUE,TRUE
796771,110885186,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798264,110919240,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796618,110885180,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796617,110885183,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796616,110885179,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796609,110885173,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796608,110885169,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798251,110919211,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797199,110868090,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
796600,110885167,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796599,110885165,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797195,110868089,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797194,110868088,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797192,110868085,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797190,110868082,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797427,110907371,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798100,110865880,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798090,110861155,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797182,110860049,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797178,110860048,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797534,110859397,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
709683,110822577,N/A,TRUE,N/A,TRUE,TRUE,TRUE
709677,110822576,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801894,111019223,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
709660,110822566,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801449,110957219,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797181,110955369,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798185,110891492,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798161,110887220,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801853,111001010,N/A,TRUE,N/A,TRUE,TRUE,TRUE
797881,110817350,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801842,110996010,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801843,110996005,N/A,TRUE,N/A,TRUE,TRUE,TRUE
797923,110934380,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801776,110968768,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797433,110961282,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796598,110885164,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796597,110885162,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801450,110925877,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796595,110885160,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798248,110920656,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798147,110880807,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798230,110920630,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798131,110910926,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
765530,110919725,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796620,110885184,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796619,110885181,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798107,110868267,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797211,110868095,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797208,110868097,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798256,110919234,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796612,110885177,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796611,110885175,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797205,110868104,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797204,110868105,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797206,110868093,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798246,110919219,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797203,110868092,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798234,110918963,N/A,FALSE,N/A,TRUE,TRUE,TRUE
797901,110829027,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797216,110916761,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797896,110824639,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797197,110868084,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797191,110868083,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797187,110868081,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797188,110868080,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798099,110865847,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798095,110862464,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798093,110861699,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798066,110856744,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801917,111022348,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
709663,110822567,N/A,TRUE,N/A,TRUE,TRUE,TRUE
797905,110832338,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
801715,110959595,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797180,110955372,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798172,110886641,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798171,110886464,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801493,110934882,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797932,110934375,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796586,110885151,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796585,110885150,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796576,110885149,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796570,110885140,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798156,110883338,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798235,110920638,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798257,110919238,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797212,110868101,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798255,110919237,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796615,110885182,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798254,110919229,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797200,110868099,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797198,110868087,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797895,110824645,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797196,110868091,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798221,110916273,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797193,110868094,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798091,110861403,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797179,110860046,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797175,110860047,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
797806,110859396,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798075,110859395,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798074,110857805,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797218,110847544,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
709694,110822578,N/A,TRUE,N/A,TRUE,TRUE,TRUE
797999,110832920,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
709687,110822574,N/A,TRUE,N/A,TRUE,TRUE,TRUE
709689,110822573,N/A,TRUE,N/A,TRUE,TRUE,TRUE
709678,110822571,N/A,TRUE,N/A,TRUE,TRUE,TRUE
798201,110897291,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
801702,110956505,N/A,TRUE,N/A,TRUE,TRUE,TRUE
801882,111013895,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801808,110985897,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797950,110934377,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797958,110934376,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796591,110885158,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798258,110920719,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796587,110885155,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798165,110886110,,,,,,
796575,110885145,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
18010,110831742,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
