Provider Property ID,Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
727845,101780218,Villa Mlade Buky - KMM020,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727855,101780206,Kretin VLV142 in Lazinov,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727843,101780162,Villa Stechovice SHR081,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727851,101780217,Villa Semily LRO127 in Roprachtice,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727847,101780212,Jiret  n p  Jedlovou - NDW445,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727839,101780035,Lomnice nad Popelkou LLB005,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
728351,101863603,Life s a Beach - Direct Beach Access  Sea Views,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
728340,101851141,VILAMOURA NAUTILUS WITH POOL by HOMING,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
728445,101882866,Milan Cottage - 2 Bedroom Cottage - Port Eynon,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727844,101780173,Dolni Morava ODP075 in Doln   Morava,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
728382,101868816,Garden Patio Apartment 1B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
727849,101780170,Velk   Karlovice MVH028,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727495,101717518,Minimal Condo Trikala town,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
727550,101741275,Italianway - Campania 7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
727720,101756981,Estrela do Mar - Com vista para a piscina ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
727679,101743380,Villa Fidalma in Noto,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
727853,101780226,Tanvald LSH141 in Tanvald,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727850,101780171,Smetanova Lhota  JSP029,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
728348,101863600,Beachways - 5 Bedroom Holiday Home - Saundersfoot,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727551,101741276,Cosy At The Mews - 2 Bedroom Apartment - Tenby,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727911,101813331,Milk   Honey Cottage - Charming Shropshire Retreat,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
715059,101756980,Surf - In front of the Ocean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
715060,101756979,Ba  a - with a bay view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
727921,101811925,Casa Dony in Alghero,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
727497,101723959,Executive Studio at Upside Living   Business Travel Ready ,N/A,TRUE,N/A,TRUE,TRUE,FALSE
727984,101826156,Casa La Gonza in Bergeggi,N/A,FALSE,TRUE,TRUE,TRUE,TRUE
728049,101838344,Escape in Porto Rafti - A Cozy Coastal Gem,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
728048,101838343,Escape in Porto Rafti - A Spacious Coastal Haven,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
728345,101863573,The Clissold Park Escape - Spacious 1BDR Flat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
728346,101863572,The Shepherd s Bush Place - Lovely 1BDR Flat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
