Expedia ID,Name,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
102546699,VillettaOndablu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102537137,VillettaWhite,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102378948,MilanModernStay,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
102547274,VillettaStellaDiMareTrilo4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
94325401,VillaFiorezzaAppartamento2PrimoPiano,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102753598,LeDimoredelSolePT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101914232,VillettaGinestra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102757139,LeDimoredelSolePP,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
92043078,VillinoAmos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102793661,VillaDonnaLinda,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
94467624,VillaFiorezzaAppartamento3PianoTerra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
99870683,MasseriaStelladelMonte,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102025021,Casakore,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
99282360,AffacciosulLago,N/A,TRUE,TRUE,TRUE,TRUE,FALSE
99310307,VillaMontipuglia,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
93048604,VillaDolceGrazia,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
102535533,CarraioSalentinoSeminterrato,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
102380962,PerladelloIonio,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102456150,AppartamentoStella,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102600757,LoSpoleApartment,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102600056,BluseaBeachApartmentsPrimoPiano,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102598390,BluseaBeachApartmentsPianoTerra,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102595723,VillaFloras,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102108294,BorgoDulcedo,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102792817,PioApartment,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
102507420,CarraioSalentinoPianoTerra,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
92918836,VillaAnita,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
