Vendor id,expedia,Expedia Status
FR-00055-47,109687861,Stop Sold
FR-00055-48,109695986,Stop Sold
FR-00055-49,109684921,Stop Sold
FR-00055-50,109680667,Stop Sold
FR-00055-51,109681313,Stop Sold
FR-00055-52,109684390,Stop Sold
FR-00055-53,109680307,Stop Sold
FR-00055-54,109680476,Stop Sold
FR-00055-55,109681397,Stop Sold
FR-06150-26,110135881,Stop Sold
FR-06160-38,110134047,Stop Sold
FR-06160-39,110134638,Stop Sold
FR-06160-40,110133958,Stop Sold
FR-06160-41,110135865,Stop Sold
FR-06160-42,110134336,Stop Sold
FR-06160-43,110134371,Stop Sold
FR-06160-44,110134500,Stop Sold
FR-06160-45,110135782,Stop Sold
FR-06160-46,110135805,Stop Sold
FR-06160-47,110134126,Stop Sold
FR-06160-48,110134014,Stop Sold
FR-06210-61,110134083,Stop Sold
FR-06230-08,110134487,Stop Sold
FR-06230-09,110134417,Stop Sold
FR-06250-43,110135804,Stop Sold
FR-06300-26,110134080,Stop Sold
FR-06400-101,109910214,Stop Sold
FR-06400-103,110144804,Stop Sold
FR-06400-112,109679698,Stop Sold
FR-06400-113,109675286,Stop Sold
FR-06400-114,109674255,Stop Sold
FR-06400-115,109911633,Stop Sold
FR-06400-116,109680222,Stop Sold
FR-06400-117,109679939,Stop Sold
FR-06400-118,110134276,Stop Sold
FR-06400-119,110134004,Stop Sold
FR-06400-120,110134003,Stop Sold
FR-06400-121,110134369,Stop Sold
FR-06400-122,110135942,Stop Sold
FR-06400-123,110134482,Stop Sold
FR-06400-124,110134125,Stop Sold
FR-06400-125,110134419,Stop Sold
FR-06400-126,110135830,Stop Sold
FR-06400-127,110134497,Stop Sold
FR-06400-128,110136407,Stop Sold
FR-06400-129,110134127,Stop Sold
FR-06400-130,110134358,Stop Sold
FR-06400-132,110134337,Stop Sold
FR-06400-133,110134488,Stop Sold
FR-06400-134,110135950,Stop Sold
FR-06400-135,110134374,Stop Sold
FR-06400-136,110134153,Stop Sold
FR-06400-137,110134079,Stop Sold
FR-06400-138,110136468,Stop Sold
FR-06400-139,110134755,Stop Sold
FR-06400-140,110134389,Stop Sold
FR-06400-141,110134197,Stop Sold
FR-06400-142,110149325,Stop Sold
FR-06400-144,110134442,Stop Sold
FR-06400-145,110134198,Stop Sold
FR-06400-146,110135866,Stop Sold
FR-06400-147,110134199,Stop Sold
FR-06400-148,110134555,Stop Sold
FR-06400-149,110135845,Stop Sold
FR-06400-150,110135902,Stop Sold
FR-06400-151,110134486,Stop Sold
FR-06400-152,110135868,Stop Sold
FR-06400-153,110134245,Stop Sold
FR-06400-154,110134388,Stop Sold
FR-06400-155,110136818,Stop Sold
FR-06400-156,110134554,Stop Sold
FR-06400-157,110135909,Stop Sold
FR-06400-159,110135906,Stop Sold
FR-06400-160,110134219,Stop Sold
FR-06400-162,110136778,Stop Sold
FR-06400-163,110134312,Stop Sold
FR-06400-164,110136467,Stop Sold
FR-06400-165,110134443,Stop Sold
FR-06400-166,110137264,Stop Sold
FR-06400-169,110134637,Stop Sold
FR-06400-170,110134216,Stop Sold
FR-06400-172,110135949,Stop Sold
FR-06400-173,110135938,Stop Sold
FR-06400-174,110135826,Stop Sold
FR-06400-175,110134370,Stop Sold
FR-06400-176,110135882,Stop Sold
FR-06400-178,110135930,Stop Sold
FR-06400-179,110134314,Stop Sold
FR-06400-180,110134290,Stop Sold
FR-06400-181,110134277,Stop Sold
FR-06400-183,110134373,Stop Sold
FR-06400-184,110134498,Stop Sold
FR-06400-185,110134557,Stop Sold
FR-06400-186,110135864,Stop Sold
FR-06400-187,110135972,Stop Sold
FR-06400-191,110135905,Stop Sold
FR-06400-192,110135896,Stop Sold
FR-06400-194,110134440,Stop Sold
FR-06400-195,110135863,Stop Sold
FR-06400-196,110135961,Stop Sold
FR-06400-197,110134441,Stop Sold
FR-06400-198,110135844,Stop Sold
FR-06400-199,110134387,Stop Sold
FR-06400-200,110137245,Stop Sold
