Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
105864494,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
111440025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108588471,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108588469,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
106835957,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111384014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
106221893,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111388940,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111384018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111384015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111332703,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108885101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111390313,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
107280141,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101095882,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101093989,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101097129,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
96007892,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
96007658,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
95661922,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
96037195,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
93150161,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101023320,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
100871724,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101095883,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
91226174,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
95524394,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
94191810,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
93844050,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
92353386,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
