Connectivity System,AGL Enablement Date,Type,Property Manager,SF Account Name,SF Account ID,Comment,Last time we got a property
NextPax,2023-08-29,PMSC,AirrivaLLC,VR_PM Airriva LLC,0018b00002LvTLcAAN,,2023-11-11
Rentals United,2024-08-29,PMSC,AirrivaLLC,VR_PM Airriva LLC,0018b00002LvTLcAAN,,NEVER
NextPax,2023-08-29,PMSC,ameliarentalandmanagementservices,VR_PM Amelia Rental and Management Services,0010y00001dvLe7AAE,,2020-02-15
Rentals United,2024-08-29,PMSC,ameliarentalandmanagementservices,VR_PM Amelia Rental and Management Services,0010y00001dvLe7AAE,,NEVER
NextPax,2023-08-29,PMSC,amsunvacationhomes,VR_PM AmSun Vacation Homes,0010y00001gZQ37AAG,,2019-11-08
Rentals United,2024-08-29,PMSC,amsunvacationhomes,VR_PM AmSun Vacation Homes,0010y00001gZQ37AAG,,NEVER
NextPax,2023-08-29,PMSC,awaze-landal,VR_PM Awaze - Landal,0010y00001lLr6LAAS,,2022-11-16
Rentals United,2024-08-29,PMSC,awaze-landal,VR_PM Awaze - Landal,0010y00001lLr6LAAS,,NEVER
NextPax,2023-08-29,PMSC,BlueStarRealEstateLLC,VR_PM BlueStar Real Estate LLC,0018b00002c6b7sAAA,,2025-01-19
Rentals United,2024-08-29,PMSC,BlueStarRealEstateLLC,VR_PM BlueStar Real Estate LLC,0018b00002c6b7sAAA,,NEVER
BookingSync,2023-11-03,PMSC,BonnaudEstatesEUR,VR_PM Bonnaud Estates,0010y00001cKTNyAAO,,NEVER
BookingPal,N/A,PMSC,BonnaudEstatesEUR,VR_PM Bonnaud Estates,0010y00001cKTNyAAO,,
NextPax,2023-08-29,PMSC,bookbnb,NOT FOUND,NOT FOUND,,2022-05-11
Rentals United,2024-08-29,PMSC,bookbnb,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,bookersunited,VR_PM Bookers United,0010y00001duzKoAAI,,2020-09-02
Rentals United,2024-08-29,PMSC,bookersunited,VR_PM Bookers United,0010y00001duzKoAAI,,NEVER
NextPax,2023-08-29,PMSC,BricVacationRentals,NOT FOUND,NOT FOUND,,NEVER
Rentals United,2024-08-29,PMSC,BricVacationRentals,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,CallanApartments,VR_PM M.B CALLAN & M.G CALLAN (Callan Apartments),0010y00001ZN6tZAAT,,2022-08-25
Rentals United,2024-08-29,PMSC,CallanApartments,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,carolinaproperties,VR_PM Carolina Properties,0010y00001jgKdgAAE,,2020-11-26
Rentals United,2024-08-29,PMSC,carolinaproperties,VR_PM Carolina Properties,0010y00001jgKdgAAE,,NEVER
NextPax,2023-08-29,PMSC,CasadiMareInc,VR_PM Casa di Mare Inc (iTrips North Shore MA),0010y00001pHdbOAAS,,2024-07-23
Rentals United,2024-08-29,PMSC,CasadiMareInc,VR_PM Casa di Mare Inc (iTrips North Shore MA),0010y00001pHdbOAAS,,NEVER
NextPax,2023-08-29,PMSC,ciirusmd,VR_PM CiiRUS MD,0010y00001ZoKmnAAF,,NEVER
Rentals United,2024-08-29,PMSC,ciirusmd,VR_PM CiiRUS MD,0010y00001ZoKmnAAF,,NEVER
BookingSync,2023-11-03,PMSC,CityRelay,VR_PM City Relay,0010y00001YBpG7AAL,Single Unit: BOOKINGSYNC | Multi Unit: Rentals United,2024-11-20
Rentals United,2024-08-29,PMSC,CityRelay,VR_PM City Relay,0010y00001YBpG7AAL,Single Unit: BOOKINGSYNC | Multi Unit: Rentals United,2023-08-30
NextPax,2023-08-29,PMSC,CuteSnowVillas,VR_PM Cute Snow Villas,0010y00001cIjvbAAC,,2024-11-28
Rentals United,2024-08-29,PMSC,CuteSnowVillas,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,dnqllc,VR_PM DNQ LLC,0010y00001kxb0IAAQ,,NEVER
Rentals United,2024-08-29,PMSC,dnqllc,VR_PM DNQ LLC,0010y00001kxb0IAAQ,,NEVER
NextPax,2023-08-29,PMSC,DreamVacationRentalsInc,VR_PM Dream Vacation Rentals Inc,0010y00001YB4DYAA1,,2023-09-27
Rentals United,2024-08-29,PMSC,DreamVacationRentalsInc,VR_PM Dream Vacation Rentals Inc,0010y00001YB4DYAA1,,NEVER
NextPax,2023-08-29,PMSC,Droomparken,VR_PM Droomparken,0010y00001anqyaAAA,,2018-11-12
Rentals United,2024-08-29,PMSC,Droomparken,VR_PM Droomparken,0010y00001anqyaAAA,,NEVER
NextPax,2023-08-29,PMSC,durango,VR_PM Durango,0010y00001kzNT3AAM,,2021-08-09
Rentals United,2024-08-29,PMSC,durango,VR_PM Durango,0010y00001kzNT3AAM,,NEVER
NextPax,2023-08-29,PMSC,EverythingIsla,VR_PM Everything Isla,0010y00001YAochAAD,,2020-08-01
Rentals United,2024-08-29,PMSC,EverythingIsla,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,executiveresortsnetworkllc,VR_PM Executive Resorts Network LLC,0010y00001iwvywAAA,,2021-01-01
Rentals United,2024-08-29,PMSC,executiveresortsnetworkllc,VR_PM Executive Resorts Network LLC,0010y00001iwvywAAA,,NEVER
NextPax,2023-08-29,PMSC,FDI,NOT FOUND,NOT FOUND,,2018-11-24
Rentals United,2024-08-29,PMSC,FDI,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,FirstCoastVacationRentalsLLC,VR_PM First Coast Vacation Rentals LLC (iTrip),0010y00001nijRhAAI,,2025-02-15
Rentals United,2024-08-29,PMSC,FirstCoastVacationRentalsLLC,VR_PM First Coast Vacation Rentals LLC (iTrip),0010y00001nijRhAAI,,NEVER
NextPax,2023-08-29,PMSC,floridadreamhomes,VR_PM #1 Dream Homes Inc,0010y00001hlOQlAAM,,2020-09-15
Rentals United,2024-08-29,PMSC,floridadreamhomes,VR_PM #1 Dream Homes Inc,0010y00001hlOQlAAM,,NEVER
NextPax,2023-08-29,PMSC,floridagoldpropertymanagement,VR_PM Florida Gold Property Management,0010y00001hNf8dAAC,,2020-12-04
Rentals United,2024-08-29,PMSC,floridagoldpropertymanagement,VR_PM Florida Gold Property Management,0010y00001hNf8dAAC,,NEVER
NextPax,2023-08-29,PMSC,floridavillasandhomesbyelitellc,VR_PM Florida Villas and Homes by Elite LLC,0010y00001i05d8AAA,,2021-03-15
Rentals United,2024-08-29,PMSC,floridavillasandhomesbyelitellc,VR_PM Florida Villas and Homes by Elite LLC,0010y00001i05d8AAA,,NEVER
NextPax,2023-08-29,PMSC,Forenom,VR_PM Forenom Apartments,0010y00001a3oBiAAI,,2020-10-30
Rentals United,2024-08-29,PMSC,Forenom,NOT FOUND,NOT FOUND,,NEVER
NextPax,2023-08-29,PMSC,fourseasonspropertymanagement,VR_PM Four Seasons Property Management,0010y00001jgEmbAAE,,2020-08-19
Rentals United,2024-08-29,PMSC,fourseasonspropertymanagement,VR_PM Four Seasons Property Management,0010y00001jgEmbAAE,,NEVER
Nextpax,2023-08-29,PMSC,funquestvacationrentalscorp,VR_PM Funquest Vacation Rentals Corp,0010y00001a3oCoAAI,,2023-11-10
BookingPal,N/A,PMSC,funquestvacationrentalscorp,VR_PM Funquest Vacation Rentals Corp,0010y00001a3oCoAAI,,
NextPax,2023-08-29,PMSC,GibsonBeachRentals,VR_PM Gibson Beach Rentals,0018b00002e6mPHAAY,,2024-10-10
Rentals United,2024-08-29,PMSC,GibsonBeachRentals,VR_PM Gibson Beach Rentals,0018b00002e6mPHAAY,,NEVER
NextPax,2023-08-29,PMSC,gondolaresorts,VR_PM Gondola Resorts,0010y00001a1hnXAAQ,,2025-03-26
Rentals United,2024-08-29,PMSC,gondolaresorts,VR_PM Gondola Resorts,0010y00001a1hnXAAQ,,NEVER
NextPax,2023-08-29,PMSC,HoggEnterprisesLLC,VR_PM Hogg Enterprises LLC,0010y00001nQLWpAAO,,NEVER
