Provider,Provider Property ID,Expedia ID,sf id,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
NextPax,65531750,74523056,0018b00002hPGQCAA4,beachsidemanagement,A Somewhere is Here by Beachside Management ,USA,PendingReview,,,FALSE,FALSE,N/A,TRUE,6,114,FALSE,13,12,MandatoryFeesFacilitiesAndServices,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
NextPax,999216422,124821662,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - A&S GuestHouse,PRT,OnboardingSucceeded,,,FALSE,FALSE,TRUE,TRUE,6,33,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,FALSE,1,0
NextPax,999196411,124709434,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - Boavista homes,PRT,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,43,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,3,TRUE,1,1
NextPax,65531751,74532303,0018b00002hPGQCAA4,beachsidemanagement,A Tide that Binds Us By Beachside Mgmt,USA,PendingReview,,,FALSE,FALSE,N/A,TRUE,6,140,FALSE,13,11,"BathroomType, MandatoryFeesFacilitiesAndServices",N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
NextPax,999196414,124821098,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - Cathedral Design Apartments,PRT,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,76,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,4,TRUE,1,1
NextPax,999217386,124821393,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - Alma Invicta,PRT,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,48,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,3
NextPax,999216061,124821286,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - D. Hugo Boutique Hotel B&B,PRT,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,102,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,4,TRUE,1,3
NextPax,999197719,124821967,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - Urban Garden Apartments,PRT,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,24,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,348
NextPax,65532658,124392421,0010y00001YADbgAAH,luxuryrentalsmiamibeach,Fontainebleau 0802,USA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,1,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
NextPax,999196602,124821740,001PE00000UHSTGYA5,guestreadyportugal,GuestReady - Old City Design Apartments,PRT,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,39,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,3,TRUE,1,1
NextPax,65532667,124571951,001PE00000WimbCYAR,beachhavenstays,The Ambassador - Unit C5 - Studio King - On Pool Deck,USA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,28,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
NextPax,65311130,124742950,0010y00001dWOSBAA4,iTripFortMyersBeach,2814 SW 44th Ter,USA,OnboardingSucceeded,,,FALSE,FALSE,N/A,FALSE,6,1,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
NextPax,65311111,124419757,0010y00001nijRhAAI,FirstCoastVacationRentalsLLC,Turtles Nest,USA,OnboardingSucceeded,,,TRUE,TRUE,N/A,TRUE,6,56,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
