Provider,Provider Property ID,Expedia ID,,Property Manager,Name,,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
EQCStays,ssl-DR02J,124590344,0018b00002W2tYiAAJ,SEAZONE,New Apt w/ BBQ and Ocean View | AXP1301,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,36,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-EZ06J,124754004,0018b00002W2tYiAAJ,SEAZONE,Studio with private balcony in Floripa SCJ0871,,BRA,OnboardingSucceeded,,,TRUE,FALSE,TRUE,TRUE,6,9,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,172
EQCStays,ssl-BB08J,124857289,0018b00002W2tYiAAJ,SEAZONE,Apt with balcony steps from Barra Beach TLR0113,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,11,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-FD02J,124778884,0018b00002W2tYiAAJ,SEAZONE,Your exclusive stay just steps from the sea in Meia Praia - FFS II,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,105,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,17,TRUE,1,1
EQCStays,ssl-CY01J,124753107,0018b00002W2tYiAAJ,SEAZONE,Studio w/ Self Check-in in BSB | CAR0001,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,6,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCStays,ssl-DX14J,124420922,0018b00002W2tYiAAJ,SEAZONE,Studio 150m from Jurere Beach PTE0507,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,10,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,153
EQCStays,ssl-EG29J,124484123,0018b00002W2tYiAAJ,SEAZONE,1-Bedroom Apt in Blumenau SPN0102,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,12,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,151
EQCStays,rbm-FH01J,124952048,0018b00002W2tYiAAJ,CARPEDIEMHOMESBR,Icon #1906 - Modern Ocean View | By Carpediem,,BRA,OnboardingSucceeded,,,TRUE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCStays,ssl-EI04J,124540218,0018b00002W2tYiAAJ,SEAZONE,Ocean View Apt 550m from the Beach GEV1304,,BRA,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,21,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,148
EQCStays,ssl-DM12J,124875458,0018b00002W2tYiAAJ,SEAZONE,"Studio in center of Rosa, rooftop w/ pool RSO0012",,BRA,OnboardingSucceeded,,,FALSE,FALSE,TRUE,FALSE,6,4,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
