"Provider","Property Manager","Provider Property ID","Expedia ID","Name","Country Code","Public Code","Code","Reason Codes","Messages","In-process Time","Timestamp (UTC)","Onboarding Start (UTC)","Onboarding End (UTC)","Time to Onboard"
"RentalsUnited","Livily","4196530","126575776","Aviator's Landing","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:17:38.006Z","2026-02-20T01:17:00.65Z","2026-02-20T01:17:38.006Z","00:00:37.3569431"
"RentalsUnited","Livily","4201312","126575808","Seawinds 702","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:18:37.005Z","2026-02-20T01:17:56.916Z","2026-02-20T01:18:37.005Z","00:00:40.0895260"
"RentalsUnited","Livily","4500162","126576018","1209-9-B -Mansion themed with pool near Disney","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:31.004Z","2026-02-20T01:24:25.971Z","2026-02-20T01:25:02.009Z","00:00:36.0384726"
"RentalsUnited","Livily","4500205","126576022","480-7-LD-Large Luxury","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:29.004Z","2026-02-20T01:24:28.131Z","2026-02-20T01:25:07.005Z","00:00:38.8746755"
"RentalsUnited","Livily","4500265","126576021","FV49 Wow Stunning single level home next to golf course and Mt Washington Hotel","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:32.005Z","2026-02-20T01:24:28.871Z","2026-02-20T01:25:06.005Z","00:00:37.1341256"
"RentalsUnited","Livily","4500242","126576026","Beautiful Bay View Couples Retreat at The Shores 5586","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:12.005Z","2026-02-20T01:24:29.292Z","2026-02-20T01:25:12.005Z","00:00:42.7130611"
"RentalsUnited","Livily","4500292","126576024","Stylish Durham Retreat - Walkable, Sleeps 6","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:32.005Z","2026-02-20T01:24:29.739Z","2026-02-20T01:25:11.005Z","00:00:41.2663485"
"RentalsUnited","Livily","4500248","126576023","Luxurious Retreat at our Canal Front Pool Home 5BR","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:30.004Z","2026-02-20T01:24:29.891Z","2026-02-20T01:25:11.004Z","00:00:41.1136463"
"RentalsUnited","Livily","4500284","126576027","FV48 Modern home with AC within walking distance of golf course and Mt Washington Hotel","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:34.005Z","2026-02-20T01:24:30.339Z","2026-02-20T01:25:08.005Z","00:00:37.6668289"
"RentalsUnited","Livily","4500376","126576029","Hidden Bungalow- Peaceful retreat, BBQ and hot tub","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:17.005Z","2026-02-20T01:24:35.902Z","2026-02-20T01:25:17.005Z","00:00:41.1037470"
"RentalsUnited","Livily","4500416","126576033","6700 Sunset Way Unit 702","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:22.461Z","2026-02-20T01:24:36.684Z","2026-02-20T01:25:22.461Z","00:00:45.7777197"
"RentalsUnited","Livily","4500390","126576032","Lakeside Lane Retreat | Waterfront Escape with Kayaks, Game Room & Scenic Views","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:14.004Z","2026-02-20T01:24:36.747Z","2026-02-20T01:25:14.004Z","00:00:37.2574778"
"RentalsUnited","Livily","4500330","126576031","Teton Serenity","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:17.005Z","2026-02-20T01:24:36.867Z","2026-02-20T01:25:17.005Z","00:00:40.1380904"
"RentalsUnited","Livily","4500379","126576034","405 Atlantis","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:18.004Z","2026-02-20T01:24:36.976Z","2026-02-20T01:25:18.004Z","00:00:41.0288442"
"RentalsUnited","Livily","4500431","126576040","Brickell River Views- modern amenities in the city","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:18.004Z","2026-02-20T01:24:37.23Z","2026-02-20T01:25:18.004Z","00:00:40.7746443"
"RentalsUnited","Livily","4500457","126576035","SH3 Luxurious Stonehill Townhouse in Bretton Woods","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:15.005Z","2026-02-20T01:24:37.501Z","2026-02-20T01:25:15.005Z","00:00:37.5043596"
"RentalsUnited","Livily","4500323","126576036","Newly renovated 2 beds 2 baths condo in St Pete Beach","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:20.005Z","2026-02-20T01:24:37.569Z","2026-02-20T01:25:20.005Z","00:00:42.4364211"
"RentalsUnited","Livily","4500385","126576039","RB20 Luxury Townhome in Bretton Woods","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:30.005Z","2026-02-20T01:24:37.708Z","2026-02-20T01:25:18.004Z","00:00:40.2966938"
"RentalsUnited","Livily","4500354","126576038","Mana Kai 314","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:16.004Z","2026-02-20T01:24:37.734Z","2026-02-20T01:25:16.004Z","00:00:38.2705973"
"RentalsUnited","Livily","4500504","126576043","ARC8138","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:31.004Z","2026-02-20T01:24:38.145Z","2026-02-20T01:25:24.006Z","00:00:45.8614409"
"RentalsUnited","Livily","4500521","126576044","Beautiful 2 Bedroom Lakeside Condo at The Shores 5677","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:19.004Z","2026-02-20T01:24:38.405Z","2026-02-20T01:25:19.004Z","00:00:40.5995191"
"RentalsUnited","Livily","4500484","126576041","Paradise Palms","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:22.005Z","2026-02-20T01:24:39.178Z","2026-02-20T01:25:22.005Z","00:00:42.8277125"
"RentalsUnited","Livily","4500505","126576045","Walk to Beach Deck Patio Fenced Yard","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:23.004Z","2026-02-20T01:24:39.189Z","2026-02-20T01:25:23.004Z","00:00:43.8156362"
"RentalsUnited","Livily","4500527","126576048","Beautiful Lake View Studio Condo at The Shores  5606","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:28.005Z","2026-02-20T01:24:40.166Z","2026-02-20T01:25:28.005Z","00:00:47.8396841"
"RentalsUnited","Livily","4500464","126576050","Lake Days Getaway - Lakeside Family Escape Near Hillsborough","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:30.005Z","2026-02-20T01:24:40.25Z","2026-02-20T01:25:23.004Z","00:00:42.7548597"
"RentalsUnited","Livily","4500534","126576046","Grand Traverse Bay Lake View Condo  5682","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:24.005Z","2026-02-20T01:24:40.523Z","2026-02-20T01:25:24.005Z","00:00:43.4827050"
"RentalsUnited","Livily","4500528","126576047","Stunning Condo with Beach Access The Shores 5719","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:21.006Z","2026-02-20T01:24:40.573Z","2026-02-20T01:25:21.006Z","00:00:40.4335669"
"RentalsUnited","Livily","4500597","126576058","The Riverwalk Retreat on the Fox - Waterfront Vacation Rental in Downtown McHenry 3BR/2BA Home with Private Pier","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:31.004Z","2026-02-20T01:24:41.149Z","2026-02-20T01:25:26.005Z","00:00:44.8561199"
"RentalsUnited","Livily","4500529","126576060","Lovely Beachside Studio  5679","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:28.005Z","2026-02-20T01:24:41.301Z","2026-02-20T01:25:28.005Z","00:00:46.7041420"
"RentalsUnited","Livily","4500522","126576055","Gorgeous Grand Traverse Bay Beach Front The Shores -  5704","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T01:25:34.005Z","2026-02-20T01:24:41.344Z","2026-02-20T01:25:34.005Z","00:00:52.6617969"
"RentalsUnited","Livily","4500593","126576052","Sunlight Chalet, Ultimate Highlands Destination","USA","OnboardingSucceeded","PropertyOnboardSucceeded","","","0","2026-02-20T03:04:31.004Z","2026-02-20T01:24:42.276Z","2026-02-20T01:25:25.004Z","00:00:42.7286368"
