Provider,Provider Property ID,Expedia ID,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
HappyHolidayHomes,13444,128714463,,Lu Maggiu,ITA,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,38,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,168
HappyHolidayHomes,13769,128901043,,Apartment Meandar With Garage And Terrace,HRV,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,28,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,341
HappyHolidayHomes,13598,127908771,,Vico Trau Sestri Ponente Apartments,ITA,OnboardingFailed,InvalidProperty,"Onboarding failed. Please provide at least 1 images to onboard this property., Property is marked as not valid: HappyHolidayHomes Property Id: 13598, Expedia Property Id: 127908771.",False,False,FALSE,TRUE,6,37,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,2,TRUE,1,1
HappyHolidayHomes,5964,112412433,,Luxe Golf & Family House Escape,ESP,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,46,N/A,,,,N/A,TRUE,TRUE,N/A,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,FALSE,1,0
HappyHolidayHomes,13641,128725345,,Comfort Vrsar Apartments,HRV,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,20,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,7,TRUE,1,171
HappyHolidayHomes,13625,128721266,,Olimpia Home,ITA,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,34,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,357
HappyHolidayHomes,13436,128934753,,La Maison Di Amilcare,ITA,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,26,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,298
HappyHolidayHomes,13134,127843075,,Tenuta Marrocco House,ITA,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,69,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,6,TRUE,1,333
HappyHolidayHomes,13620,128934752,,Baia Serena,ITA,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,23,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,365
HappyHolidayHomes,12561,128835727,,Casa Berna,CHE,OnboardingSucceeded,,,False,True,N/A,TRUE,6,32,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
