Provider,Provider Property ID,Expedia ID,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
EQCTravelStaytion,1015653,,TravelStaytionAMER,w    Amazing 2BR w  Balcony   View in Miraflores,PER,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015656,,TravelStaytionAMER,w    Amazing Loft in the Heart of Chico Norte,COL,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015659,,TravelStaytionGRC,Crete Thea Beachfront Escape With Pool   SeaViews,GRC,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015658,,TravelStaytionGRC,Crete Beachfront Coconut Gem with SeaViews   Pool,GRC,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015663,,EQCTravelStaytion,Woldside - Luxury property sleeps 10,GBR,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015654,,TravelStaytionAMER,w    Deluxe 2BR w  Terrace   A C in Morros,COL,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015140,,TravelStaytionAMER,Upscale 4BR FIFA Home   Steps Away to SkyTrain,CAN,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015655,,TravelStaytionAMER,w    Deluxe 1BR Duplex w  Terrace near El Virrey,COL,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015689,,TravelStaytionAMER,Stylish 4BR  Private Pool  Themed rooms  Sleeps 13,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1015664,,EQCTravelStaytion,Free housekeeping visits during your stay - StayShort - Comfortable 1 Bedroom in Production City that Sleeps 3,ARE,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1017414,,EQCTravelStaytion,Villa Amarandes with Private Pool,GRC,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018404,,EQCTravelStaytion,Dar Marsa Cubes   5-Suite Serviced Villa    Chef   Housekeeper    La Marsa,TUN,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018398,,EQCTravelStaytion,Simple Stay Vari s House II,GRC,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018400,,EQCTravelStaytion,TERRASOL EL CISNE TORRE DEL MAR,ESP,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1017923,,EQCTravelStaytion,Silkhaus 1BDR Chic Escape in Al Maryah Island,ARE,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018370,,TravelStaytionAMER,Sunset Swims   Disney Dreams-Modern Family Oasis,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018369,,EQCTravelStaytion,White Escape   3BR Luxury Lalzi Beach Villa,ALB,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018366,,TravelStaytionAMER,5BR Family Home  Pool  Theme Beds  Space  Location,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018356,,EQCTravelStaytion,Casa Caterina - in the heart of Porta Venezia,ITA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018355,,TravelStaytionAMER,Pine and Peak - Hot Tub  Fire Pit   Dog Friendly  - Gatlinburg Arts   Crafts Community - Sleeps 6,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018357,,TravelStaytionAMER,3 Minute Walk to Beach 4 Bedroom Home,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,B17045,,TravelStaytionAMER,Fox Eden Resort  8Bd  Pool  Spa Oasis,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018325,,TravelStaytionAMER,Fox Isles Luxury Waterfront with Pool Near Beach,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018324,,EQCTravelStaytion,Grandstay Apartments 004,ALB,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018311,,EQCTravelStaytion,The Green - Stylish Home Sleeps 6 with Parking,GBR,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018312,,EQCTravelStaytion,Free housekeeping visits during your stay - StayShort - JVC sleeps 2 with Amazing Views and Large Balcony,ARE,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018302,,TravelStaytionAMER,347-4A New 2BR Upper East Side W D,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1018301,,TravelStaytionAMER,22-5C New Prime Gramercy 1BR,USA,ExpediaIdAssignmentPending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
