Provider,Provider Property ID,Expedia ID,,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
EQCTravelStaytion,825957,133168720,0010y00001jCXR1AAO,EQCTravelStaytion,FI in Lisboa ciudad with 2 bedrooms and 1 bathrooms,PRT,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCTravelStaytion,825950,133168705,0010y00001jCXR1AAO,EQCTravelStaytion,PI1 in Lisboa ciudad,PRT,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
EQCTravelStaytion,825951,133168717,0010y00001jCXR1AAO,EQCTravelStaytion,CN1 in Lisboa ciudad,PRT,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
EQCTravelStaytion,1038183,133168073,0010y00001jCXR1AAO,EQCTravelStaytion,Casa del Miso by Wonderful Italy,ITA,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,TRUE,1,1
EQCTravelStaytion,1038181,133167030,0010y00001jCXR1AAO,EQCTravelStaytion,Furnished Studio in Al-Aqiq,SAU,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for EQCTravelStaytion Property Id: 1038181, Expedia Property Id: 133167030, Correlation Id: cd62b071-7227-4378-92c0-ba206b169e33 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-270, Message 44560232 - Currency code SAR not supported for supplier and has propertyEventReasonCode InvalidProperty, This currency is not supported for the finance profile configured. Please work with Expedia support to address this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1038155,133164747,0010y00001jCXR1AAO,EQCTravelStaytion,Furnished Studio in Al-Aqiq,SAU,OnboardingFailed,InvalidProperty,"Step FinanceSetup failed for EQCTravelStaytion Property Id: 1038155, Expedia Property Id: 133164747, Correlation Id: af97d77b-4e9f-4a06-8d4a-72e17d38c758 because of property missing Supplier Finance contract details. ErrorCode: POA-WS-270, Message 44560613 - Currency code SAR not supported for supplier and has propertyEventReasonCode InvalidProperty, This currency is not supported for the finance profile configured. Please work with Expedia support to address this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCTravelStaytion,1037420,133123447,0010y00001jCXR1AAO,EQCTravelStaytion,Host   Stay   12 Belton Woods,GBR,OnboardingSucceeded,,,TRUE,TRUE,N/A,TRUE,6,19,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCTravelStaytion,1037616,133121250,0010y00001jCXR1AAO,TravelStaytionAMER,Beautiful Den 4Bd 4Bth Perfect for Longer Stays,USA,OnboardingSucceeded,,,TRUE,TRUE,N/A,TRUE,6,36,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCTravelStaytion,1037428,133117474,0010y00001jCXR1AAO,TravelStaytionGRC,Valira Cozy Home w Rustic Charm   Private Garden,GRC,OnboardingSucceeded,,,TRUE,TRUE,TRUE,TRUE,6,37,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCTravelStaytion,1031427,133100096,0010y00001jCXR1AAO,EQCTravelStaytion,Grand 2BR Penthouse   100  Cinema   Hyde Park,GBR,OnboardingSucceeded,,,FALSE,FALSE,FALSE,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
EQCTravelStaytion,708962,133065659,0010y00001jCXR1AAO,TravelStaytionAMER,Luxurious Resort Style Property   6 Homes In ATL,USA,OnboardingSucceeded,,,FALSE,FALSE,N/A,FALSE,6,0,N/A,,,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
EQCTravelStaytion,1037059,133079002,0010y00001jCXR1AAO,TravelStaytionAMER,Oceanfront Sanctuary   Private   Peaceful,CAN,OnboardingSucceeded,,,FALSE,FALSE,FALSE,TRUE,6,70,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCTravelStaytion,1034055,133012517,0010y00001jCXR1AAO,EQCTravelStaytion,Luxury 1BR Apartment   Steps from Dubai Hills Mall,ARE,OnboardingSucceeded,,,FALSE,FALSE,TRUE,TRUE,6,20,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
EQCTravelStaytion,1034067,133012531,0010y00001jCXR1AAO,EQCTravelStaytion,Elegant 1BR in Vera   Minutes from Dubai Mall,ARE,OnboardingSucceeded,,,FALSE,FALSE,TRUE,TRUE,6,22,N/A,,,,N/A,TRUE,TRUE,N/A,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,322
