AG Listing ID,AdriagateCode,Expedia property ID
142612-15,16741,124173626
144845-5,18311,124173665
168202-5,38641,131719387
168368-5,40464,38162147
168757-5,48021,124174023
169230-16,58671,38193581
169501-16,62882,42410223
169972-16,87031,44897609
194590-16,84943,124174693
350988-13,91041,124176514
351200-13,79541,124174494
351286-13,94671,124176517
351371-13,95211,95118233
351481-13,95921,124176645
351654-13,96901,124175442
351738-13,97261,124176234
352035-13,98671,124176778
352215-13,99531,124176275
352217-13,99631,124176186
352659-13,102461,124166142
353453-13,107161,124171445
353456-13,107191,124171103
353578-13,107841,124171484
353596-13,107941,124171509
353686-13,10853,124171535
354535-13,V9142,110585345
354731-13,114461,124172466
355172-13,V9982,124176776
355230-13,117381,124173116
355565-13,120301,124173458
355674-13,121191,124173272
356749-13,121851,124173453
356753-13,121891,124173461
356761-13,121951,124173469
356859-13,122701,131719070
356894-13,123041,131719096
69404-61,36121,38161788
69580-61,41031,38162253
72096-61,68941,124174399
