AG Listing ID,AdriagateCode,ExpediaID property,propertyStatus
192981-5,81383,134352435,OnboardingSucceeded
194705-16,62301,134352322,OnboardingSucceeded
352126-13,99161,134352469,OnboardingSucceeded
355628-13,120801,134351882,OnboardingSucceeded
355688-13,121311,134351879,OnboardingSucceeded
356891-13,123011,134351903,OnboardingSucceeded
356931-13,123351,134351925,OnboardingSucceeded
357031-13,124161,134351933,OnboardingSucceeded
357065-13,124481,134351920,OnboardingSucceeded
357088-13,124661,134351931,OnboardingSucceeded
357106-13,124811,134351937,OnboardingSucceeded
357112-13,124871,134351948,OnboardingSucceeded
357121-13,124961,134351936,OnboardingSucceeded
357136-13,125091,134351943,OnboardingSucceeded
357137-13,V12121,134352467,OnboardingSucceeded
357148-13,125191,134351951,OnboardingSucceeded
357165-13,125331,134351954,OnboardingSucceeded
357174-13,125421,134351965,OnboardingSucceeded
357178-13,125441,134351961,OnboardingSucceeded
357180-13,V9932,134352515,OnboardingSucceeded
357182-13,125481,134351968,OnboardingSucceeded
357186-13,125521,134351964,OnboardingSucceeded
357187-13,125531,134351985,OnboardingSucceeded
357188-13,125541,134351989,OnboardingSucceeded
357193-13,125571,134352000,OnboardingSucceeded
357194-13,125581,134351988,OnboardingSucceeded
357199-13,125631,134352004,OnboardingSucceeded
357205-13,V9592,134352498,OnboardingSucceeded
357206-13,125701,134352023,OnboardingSucceeded
357208-13,V0802,134352479,OnboardingSucceeded
357209-13,121491,124173381,OnboardingSucceeded
357210-13,121921,124173466,OnboardingSucceeded
357211-13,121981,124173476,OnboardingSucceeded
357213-13,124521,134351926,OnboardingSucceeded
357214-13,124591,134351929,OnboardingSucceeded
357216-13,124971,134351952,OnboardingSucceeded
357218-13,125721,134352035,OnboardingSucceeded
357221-13,125751,134352002,OnboardingSucceeded
357223-13,125771,134352021,OnboardingSucceeded
357224-13,125781,134352032,OnboardingSucceeded
357227-13,125811,134352037,OnboardingSucceeded
357230-13,V6082,134352492,OnboardingSucceeded
357231-13,125831,134352020,OnboardingSucceeded
357233-13,125851,134352033,OnboardingSucceeded
357234-13,V2332,134352478,OnboardingSucceeded
357235-13,125871,134352047,OnboardingSucceeded
357238-13,125891,134352046,OnboardingSucceeded
357239-13,125901,134352058,OnboardingSucceeded
357241-13,125921,134352068,OnboardingSucceeded
357243-13,125941,134352082,OnboardingSucceeded
357246-13,125971,134352050,OnboardingSucceeded
357248-13,V2333,134352487,OnboardingSucceeded
357249-13,125991,134352059,OnboardingSucceeded
357250-13,126001,134352079,OnboardingSucceeded
357251-13,125861,134352036,OnboardingSucceeded
357252-13,126011,134352095,OnboardingSucceeded
357254-13,V9922,134352509,OnboardingSucceeded
357255-13,126031,134352057,OnboardingSucceeded
357256-13,126041,134352076,OnboardingSucceeded
357257-13,126051,134352088,OnboardingSucceeded
357260-13,126081,134352098,OnboardingSucceeded
357262-13,126101,134352091,OnboardingSucceeded
357263-13,126111,134352106,OnboardingSucceeded
357264-13,126121,134352112,OnboardingSucceeded
357265-13,126131,134352145,OnboardingSucceeded
357266-13,126141,134352105,OnboardingSucceeded
357267-13,126151,134352111,OnboardingSucceeded
357268-13,126161,134352140,OnboardingSucceeded
357270-13,126171,134352148,OnboardingSucceeded
357271-13,126181,134352104,OnboardingSucceeded
357273-13,126201,134352110,OnboardingSucceeded
357276-13,126231,134352136,OnboardingSucceeded
357277-13,126241,134352156,OnboardingSucceeded
357278-13,126251,134352152,OnboardingSucceeded
357280-13,126261,134352180,OnboardingSucceeded
357281-13,126262,134352194,OnboardingSucceeded
357283-13,126281,134352206,OnboardingSucceeded
357285-13,126301,134352230,OnboardingSucceeded
357287-13,126321,134352243,OnboardingSucceeded
357289-13,126341,134352258,OnboardingSucceeded
357294-13,126391,134352281,OnboardingSucceeded
357295-13,V1102,134352489,OnboardingSucceeded
357299-13,126431,134352164,OnboardingSucceeded
357301-13,126451,134352189,OnboardingSucceeded
357303-13,126471,134352199,OnboardingSucceeded
357304-13,126481,134352218,OnboardingSucceeded
357305-13,126491,134352236,OnboardingSucceeded
357306-13,126501,134352251,OnboardingSucceeded
357309-13,126531,134352277,OnboardingSucceeded
357311-13,126551,134352288,OnboardingSucceeded
357312-13,126561,134352174,OnboardingSucceeded
357313-13,126571,134352197,OnboardingSucceeded
357316-13,126601,134352217,OnboardingSucceeded
357317-13,126611,134352232,OnboardingSucceeded
357320-13,126641,134352248,OnboardingSucceeded
357321-13,126651,134352271,OnboardingSucceeded
357326-13,126701,134352285,OnboardingSucceeded
357329-13,126731,134352302,OnboardingSucceeded
357330-13,126741,134352294,OnboardingSucceeded
357332-13,57852,134352462,OnboardingSucceeded
357334-13,126771,134352304,OnboardingSucceeded
357336-13,126791,134352325,OnboardingSucceeded
357339-13,126821,134352337,OnboardingSucceeded
357344-13,126871,134352353,OnboardingSucceeded
357345-13,126881,134352428,OnboardingSucceeded
357347-13,126901,134352438,OnboardingSucceeded
357350-13,126931,134352447,OnboardingSucceeded
357352-13,126951,134352310,OnboardingSucceeded
357353-13,126961,134352328,OnboardingSucceeded
357358-13,126981,134352343,OnboardingSucceeded
357365-13,127041,134352346,OnboardingSucceeded
357379-13,127171,134352427,OnboardingSucceeded
357380-13,127181,134352430,OnboardingSucceeded
357385-13,127221,134352440,OnboardingSucceeded
