Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
104336529,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104333359,TRUE,TRUE,N/A,N/A,TRUE,TRUE
104333356,TRUE,TRUE,N/A,N/A,TRUE,TRUE
104331918,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104331680,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104281258,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104454663,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104269933,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104452893,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104188934,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104188808,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104331501,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104306500,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104299197,N/A,TRUE,N/A,N/A,TRUE,TRUE
104423410,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104395869,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104520217,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104497355,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104370785,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104496372,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104368583,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104492384,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104492405,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104366073,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104342515,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104335380,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104333564,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104435504,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
104434418,N/A,TRUE,N/A,N/A,TRUE,TRUE
104433787,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104425427,N/A,TRUE,TRUE,TRUE,TRUE,TRUE
