Provider,Provider Property ID,Expedia ID,,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
vacayhomesentinel,tecxv0,104526450,104526450,GrandWelcomeFranchisingLLC,White Sands Village #217,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,59,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,43
vacayhomesentinel,5nfmm3,104523593,104523593,GrandWelcomeFranchisingLLC,Solana Sunset,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,40,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,11
vacayhomesentinel,uqlnup,104526446,104526446,GrandWelcomeFranchisingLLC,The Cactus Cool Down,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,72,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,42
vacayhomesentinel,99n42i,104523559,104523559,GrandWelcomeFranchisingLLC,Mariner's Retreat,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,54,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,13
vacayhomesentinel,1yhu90,104523575,104523575,GrandWelcomeFranchisingLLC,Beach Paradise,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,50,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,12
vacayhomesentinel,d0m0xr,104526473,104526473,GrandWelcomeFranchisingLLC,Seashell Haven,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,39,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,22
vacayhomesentinel,9xr6gz,104526461,104526461,GrandWelcomeFranchisingLLC,Northstar Treehouse,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,35,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,34
vacayhomesentinel,xnw3w0,104526460,104526460,GrandWelcomeFranchisingLLC,Kolu Honu,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,28,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,16
vacayhomesentinel,9esgbj,104526459,104526459,GrandWelcomeFranchisingLLC,The Mahana 1107,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,43,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,19
vacayhomesentinel,3qcpeu,104523611,104523611,GrandWelcomeFranchisingLLC,Coral Cove,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
vacayhomesentinel,i0564c,104523610,104523610,GrandWelcomeFranchisingLLC,Lookout Lodge,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,49,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
vacayhomesentinel,wcyesa,104526452,104526452,GrandWelcomeFranchisingLLC,The Relaxation Station,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,37,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,38
vacayhomesentinel,r8404c,104526464,104526464,GrandWelcomeFranchisingLLC,"110 Kaanapali Shores Place, #617",USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,41,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,31
vacayhomesentinel,yjpozr,104526456,104526456,GrandWelcomeFranchisingLLC,The Mahana 1106,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,40,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,36
vacayhomesentinel,nx76cr,104526448,104526448,GrandWelcomeFranchisingLLC,Kona Reef F-2,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,49,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,31
vacayhomesentinel,8mzbip,104523577,104523577,GrandWelcomeFranchisingLLC,380 Obsidian Pl,USA,OnboardingSucceeded,,,FALSE,TRUE,TRUE,TRUE,6,56,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,45
