Provider,Provider Property ID,Expedia ID,Property Manager,Name,Country Code,Public Code,Reason Codes,Messages,Is Live,Meets Go Live Requirements,Regulatory Compliant,Images,Images Minimum,Images Found,Amenities,Amenities Minimum,Amenities Found,Amenities Missing,Special Check-In Instructions,Property Contact,Business Model,Number of Bedrooms,Number of Bathrooms,Taxes,Property Name,Phone,Geo-Coordinates,Address,Structure Type,Currency,Active Products,Active Products Minimum,Active Products Found,Sufficient Inventory,Sufficient Inventory Minimum,Sufficient Inventory Found
YourRentals,107337,107824919,,B308 - Nice Pool Access 1 Br 300m To Ao Nang Beach,THA,OnboardingSucceeded,,,False,True,N/A,TRUE,6,93,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,5
YourRentals,107275,107819568,Your.RentalsUS,Lake Park Home With Garage - 1 Mile To Beach!,USA,OnboardingSucceeded,,,False,False,FALSE,TRUE,6,17,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
YourRentals,107274,107755940,,Budget Studio Heart Of City 2,GRC,OnboardingSucceeded,,,False,False,TRUE,TRUE,6,9,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
YourRentals,106845,107814674,,Casa Martinho Cozy Retreat in the Heart of Ponta Delgada,PRT,OnboardingSucceeded,,,False,True,TRUE,TRUE,6,50,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,13
YourRentals,107316,107755480,,Lugano's Hills Lake View,CHE,OnboardingSucceeded,,,False,True,N/A,TRUE,6,26,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
YourRentals,107315,107753932,,Stunning Sunset View High Speed Fibre Furnished,MYS,OnboardingSucceeded,,,False,True,N/A,TRUE,6,33,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
YourRentals,107295,107719023,Your.RentalsUS,2 Bedrooms at Brigantine Quarters 240 - Flat Top Floor,USA,OnboardingSucceeded,,,False,True,N/A,TRUE,6,99,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,17
YourRentals,107170,107981899,,Citygem- rental appartment,ARG,OnboardingSucceeded,,,False,False,N/A,TRUE,6,21,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,1,1
YourRentals,102878,107456547,,Room in House - Trang An Ao Dai Homestay - Triple room with field view - Thien Ha room,VNM,OnboardingSucceeded,,,False,False,N/A,TRUE,6,17,FALSE,11,8,"RoomLayout, BathroomType, PaymentMethod",TRUE,TRUE,TRUE,N/A,N/A,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
YourRentals,102877,107456525,,Room in House - Trang An Ao Dai Homestay - Double room with field view,VNM,OnboardingSucceeded,,,False,False,N/A,TRUE,6,16,FALSE,11,8,"RoomLayout, BathroomType, PaymentMethod",TRUE,TRUE,TRUE,N/A,N/A,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
YourRentals,106950,107616874,,Penthouse Apartment with panoramic views,MNE,OnboardingSucceeded,,,False,False,N/A,TRUE,6,25,N/A,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,1,34
YourRentals,102876,107456424,,Room in House - Trang An Ao Dai Homestay - Double room with field view - Tam Coc room,VNM,OnboardingSucceeded,,,False,False,N/A,TRUE,6,16,FALSE,11,8,"RoomLayout, BathroomType, PaymentMethod",TRUE,TRUE,TRUE,N/A,N/A,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0,FALSE,1,0
