property_id,property_name,listing_id
2358426,Beautiful 2-Bed Apartment in Casares Costa,106464920
3204363,Lovely 2-Bed Apartment in Marina de la Duquesa,73237859
3459136,Beautiful 2-Bed Bungalow in Parque Holandés,72959158
3459137,Comfortable 1-Bed Bungalow in Parque Holandés,72959225
3459138,Rustic 1-Bed Bungalow in Parque Holandés,72959229
3596638,Inviting 2-Bed House in Abeokuta,105112557
3689093,Casa Naranja - Mirador de Lobos Golf,106464838
3821609,Riverside Mount Simpson Upper,74521956
3970966,Cousy holiday Apartment in sunny Golf del Sur,106464972
4046654,"Beautiful townhouse, end of row, Calahonda ,Mijas",106464887
4048538,Renovated and newly furnished 3 bedroom apartment,106465019
4195247,Vista Almendra Captivating 2-Bed Apartment in Oria,106464851
4273409,Vacaciones Alondras Park D209,106465034
435422,Comfy 2-Bedroom Apartment,107440015
4556691,Stunning 1-Bed Apartment with seaview in Arico,106465179
4566982,Amazing sunset golf-course villa for up to 7,106465165
4649641,Beautiful 5-Bed Villa in Playa Blanca,106464732
4655931,Lovely 2-Bed Apartment in Elviria Nr Marbella,106464670
5006770,Charming 2-Bed-Apartment in Santa Cruz de Tenerife,106464812
5439572,Remarkable 4-Bed Villa,109074828
5528975,Comfortable 2-Bed Apartment in Costa Esuri,106465221
5534100,Lovely 2-Bed Apartment in Costa Esuri,106465001
5796955,"Peaceful, Spacious,  2 bed 2 bath Elviria condo",106464888
5949952,"Apartment in Chipiona, air conditioning,beach 300m",106464789
6268253,Stunning Newly Furnished Ground Floor Apartment,100722415
6283133,Luxury Spacious Penthouse & garage 150m to Beach,106464643
6333883,AS050 Inviting 2-Bed House La Casita,106464970
6466295,RostrevorValley Caravan Experience Private HotTub,100812687
6469358,Frigiliana Dream 3-Bed Apartment,106464998
6475501,Charming 3-Bed Apartment in Fuengirola,106464763
6491652,Lovely 2-Bed Apartment in Barcelonas best location,106464760
6528728,Benal Beach Resort - Benalmadena-Malaga-Andalucia,106465202
6548708,Beautiful 2-Bed Apartment next to Gibraltar,106465180
6548958,Stunning 1-Bed Apartment in Dhaka close to airport,91614873
6630715,Private Spacious Bungalow near Disney 3B/2W,107175405
