EXPEDIA_ID,LISTING_RESIGNDATE
101959630,11/15/24
101320937,11/15/24
100849112,11/15/24
102129705,11/15/24
93532781,11/15/24
94334007,11/15/24
93203199,11/15/24
93203430,11/15/24
94326393,11/15/24
94339477,11/15/24
99773389,11/15/24
93545786,11/15/24
93602840,11/15/24
93206613,11/15/24
94365448,11/15/24
94958517,11/15/24
94954777,11/15/24
100849100,11/15/24
98545225,11/15/24
107600217,11/15/24
94958209,11/15/24
107600225,11/15/24
106557945,11/15/24
98556284,11/18/24
103886704,11/18/24
101350423,11/18/24
98556553,11/18/24
109064393,11/18/24
107481932,11/18/24
93575846,11/18/24
94337121,11/18/24
94310977,11/18/24
98544660,11/18/24
102433675,11/18/24
107860194,11/18/24
107860176,11/18/24
107899003,11/18/24
94359024,11/18/24
94955387,11/18/24
94964701,11/18/24
93206654,11/18/24
93204557,11/18/24
94454024,11/18/24
94502346,11/18/24
103731136,11/18/24
93547230,11/18/24
101821463,11/18/24
93572673,11/18/24
108717863,11/18/24
94371624,11/18/24
94956600,11/19/24
103047036,11/19/24
102537889,11/19/24
100849555,11/19/24
93546254,11/19/24
103660393,11/19/24
107401034,11/19/24
93546505,11/19/24
100849635,11/19/24
94310526,11/19/24
93205240,11/19/24
98549877,11/19/24
94958009,11/19/24
105872824,11/19/24
102233953,11/19/24
105211755,11/19/24
93200020,11/19/24
100522819,11/19/24
94483255,11/19/24
94953437,11/19/24
98545192,11/19/24
94957419,11/19/24
98544702,11/19/24
93199916,11/19/24
107439784,11/19/24
102678670,11/19/24
108540204,11/19/24
109845809,11/19/24
107439823,11/19/24
104626836,11/19/24
99856549,11/19/24
105211795,11/19/24
93561014,11/19/24
98548719,11/19/24
94479969,11/19/24
100100391,11/19/24
100849536,11/20/24
98550724,11/20/24
93537082,11/20/24
93202621,11/20/24
93200536,11/20/24
93589464,11/20/24
94964472,11/20/24
98556708,11/20/24
93536689,11/20/24
94356072,11/20/24
94954677,11/20/24
94325846,11/20/24
93597022,11/20/24
110610183,11/20/24
93546686,11/20/24
93199555,11/20/24
93198814,11/20/24
94523138,11/20/24
98546149,11/20/24
93202266,11/20/24
100850202,11/20/24
103117303,11/20/24
93204234,11/20/24
94304218,11/20/24
94356044,11/20/24
93561005,11/20/24
94955581,11/20/24
99499969,11/20/24
94321085,11/20/24
94958932,11/20/24
101328068,11/20/24
106692199,11/20/24
93206171,11/20/24
100714759,11/21/24
93207293,11/21/24
93206403,11/21/24
94956608,11/21/24
98549979,11/21/24
108144432,11/21/24
94959030,11/21/24
98552656,11/21/24
94955467,11/21/24
100850409,11/21/24
108380550,11/21/24
103731130,11/21/24
102402562,11/21/24
105311736,11/21/24
104166364,11/21/24
93203878,11/21/24
93572659,11/21/24
93586896,11/21/24
94955335,11/21/24
106692266,11/21/24
98552662,11/21/24
98544736,11/21/24
109610633,11/21/24
110704878,11/21/24
108195025,11/21/24
93594342,11/21/24
98550416,11/21/24
101866269,11/21/24
98551864,11/21/24
98545822,11/21/24
93206042,11/21/24
93536659,11/21/24
98548873,11/21/24
107507067,11/21/24
94362517,11/21/24
106224751,11/21/24
94337830,11/21/24
93201068,11/21/24
100849724,11/21/24
94339813,11/21/24
99242320,11/21/24
98552495,11/21/24
102402558,11/21/24
102402573,11/21/24
102497659,11/21/24
