uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
005157845|005157845|005157845_000001|Nacimientos_1978,v. CH-N-L098 (pt. 1) - DGS(005157845)|Nacimientos_1978,v. CH-N-L098 (pt. 1) - DGS(005157845)|ES|Español|1978|Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L098 (pt. 1)|Nacimientos-1978|
005157846|005157846|005157846_000001|Nacimientos_1978,v. CH-N-L098 (pt. 2) - DGS(005157846)|Nacimientos_1978,v. CH-N-L098 (pt. 2) - DGS(005157846)|ES|Español|1978|Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L098 (pt. 2)|Nacimientos-ene 1978—oct 1978|
005157847|005157847|005157847_000001|Nacimientos_1978,v. CH-N-L099 (pt. 1) - DGS(005157847)|Nacimientos_1978,v. CH-N-L099 (pt. 1) - DGS(005157847)|ES|Español|1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L099 (pt. 1)|Nacimientos-oct 1978—nov 1978|
005157848|005157848|005157848_000001|Nacimientos_1986,v. CH-N-L099 (pt. 2) - DGS(005157848)|Nacimientos_1986,v. CH-N-L099 (pt. 2) - DGS(005157848)|ES|Español|1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L099 (pt. 2)|Nacimientos-1873—1986|
005157849|005157849|005157849_000001|Nacimientos_1978,v. CH-N-L101 (pt. 1) - DGS(005157849)|Nacimientos_1978,v. CH-N-L101 (pt. 1) - DGS(005157849)|ES|Español|1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L101 (pt. 1)|Nacimientos-jun 1978—jul 1978|
005157850|005157850|005157850_000001|Nacimientos_1978,v. CH-N-L101 (pt. 2) - DGS(005157850)|Nacimientos_1978,v. CH-N-L101 (pt. 2) - DGS(005157850)|ES|Español|1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L101 (pt. 2)|Nacimientos-jul 1978—dic 1978|
005157851|005157851|005157851_000001|Nacimientos_1978,v. CH-N-L102 (pt. 1) - DGS(005157851)|Nacimientos_1978,v. CH-N-L102 (pt. 1) - DGS(005157851)|ES|Español|1978|Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L102 (pt. 1)|Nacimientos-ene 1978—oct 1978|
005157852|005157852|005157852_000001|Nacimientos_1986,v. CH-N-L102 (pt. 2) - DGS(005157852)|Nacimientos_1986,v. CH-N-L102 (pt. 2) - DGS(005157852)|ES|Español|1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L102 (pt. 2)|Nacimientos-1873—1986|
005157853|005157853|005157853_000001|Nacimientos_1978,v. CH-N-L103 (pt. 1) - DGS(005157853)|Nacimientos_1978,v. CH-N-L103 (pt. 1) - DGS(005157853)|ES|Español|1978|Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L103 (pt. 1)|Nacimientos-oct 1978—nov 1978|
005157854|005157854|005157854_000001|Nacimientos_1978,v. CH-N-L103 (pt. 2) - DGS(005157854)|Nacimientos_1978,v. CH-N-L103 (pt. 2) - DGS(005157854)|ES|Español|1978|Chiclayo, Lambayeque, Perú|Nacimientos|v. CH-N-L103 (pt. 2)|Nacimientos-nov 1978—dic 1978|
