uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
106890344|106890344|106890344_000001|Bautismos 1 aprox. 15 abr 1728–aprox. 3 jun 1737 - DGS(106890344)|Bautismos 1 aprox. 15 abr 1728–aprox. 3 jun 1737 - DGS(106890344)|ES|Español|1737/1737|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|1|Bautizo
106890345|106890345|106890345_000001|Bautismos 2 12 dic 1745–28 dic 1754 - DGS(106890345)|Bautismos 2 12 dic 1745–28 dic 1754 - DGS(106890345)|ES|Español|1754/1754|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|2|Bautizo
106890346|106890346|106890346_000001|Bautismos 3 30 dic 1754–13 ene 1765 - DGS(106890346)|Bautismos 3 30 dic 1754–13 ene 1765 - DGS(106890346)|ES|Español|1765/1765|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|3|Bautizo
106890347|106890347|106890347_000001|Bautismos 4 18 ene 1765–jul 1768 - DGS(106890347)|Bautismos 4 18 ene 1765–jul 1768 - DGS(106890347)|ES|Español|1768/1768|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|4|Bautizo
106890348|106890348|106890348_000001|Bautismos 5 1 abr 1765–18 may 1775 - DGS(106890348)|Bautismos 5 1 abr 1765–18 may 1775 - DGS(106890348)|ES|Español|1775/1775|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|5|Bautizo
106890349|106890349|106890349_000001|Bautismos 6 8 jun 1775–30 dic 1779 - DGS(106890349)|Bautismos 6 8 jun 1775–30 dic 1779 - DGS(106890349)|ES|Español|1779/1779|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|6|Bautizo
106890350|106890350|106890350_000001|Bautismos 7 1 ene 1780–29 may 1791 - DGS(106890350)|Bautismos 7 1 ene 1780–29 may 1791 - DGS(106890350)|ES|Español|1791/1791|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|7|Bautizo
106890351|106890351|106890351_000001|Bautismos 8 29 may 1791–31 oct 1794 - DGS(106890351)|Bautismos 8 29 may 1791–31 oct 1794 - DGS(106890351)|ES|Español|1794/1794|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|8|Bautizo
106890352|106890352|106890352_000001|Bautismos 9 2 feb 1798–20 sep 1801 - DGS(106890352)|Bautismos 9 2 feb 1798–20 sep 1801 - DGS(106890352)|ES|Español|1801/1801|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|9|Bautizo
106890353|106890353|106890353_000001|Bautismos 10 27 sep 1801–22 dic 1807 - DGS(106890353)|Bautismos 10 27 sep 1801–22 dic 1807 - DGS(106890353)|ES|Español|1807/1807|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|10|Bautizo
106890354|106890354|106890354_000001|Bautismos 11 31 dic 1811–5 mar 1815 - DGS(106890354)|Bautismos 11 31 dic 1811–5 mar 1815 - DGS(106890354)|ES|Español|1815/1815|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|11|Bautizo
106890355|106890355|106890355_000001|Bautismos 12 5 mar 1815–8 jun 1817 - DGS(106890355)|Bautismos 12 5 mar 1815–8 jun 1817 - DGS(106890355)|ES|Español|1817/1817|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|12|Bautizo
106890368|106890368|106890368_000001|Bautismos 13 12 nov 1818–1821 - DGS(106890368)|Bautismos 13 12 nov 1818–1821 - DGS(106890368)|ES|Español|1821/1821|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|13|Bautizo
106890369|106890369|106890369_000001|Bautismos 14 mar 1822–nov 1824 - DGS(106890369)|Bautismos 14 mar 1822–nov 1824 - DGS(106890369)|ES|Español|1824/1824|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|14|Bautizo
106890370|106890370|106890370_000001|Bautismos 15 6 nov 1825–12 ene 1828 - DGS(106890370)|Bautismos 15 6 nov 1825–12 ene 1828 - DGS(106890370)|ES|Español|1828/1828|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|15|Bautizo
106890371|106890371|106890371_000001|Bautismos 16 12 ene 1828–10 sep 1829 - DGS(106890371)|Bautismos 16 12 ene 1828–10 sep 1829 - DGS(106890371)|ES|Español|1829/1829|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|16|Bautizo
106890372|106890372|106890372_000001|Bautismos 17 sep 1829–jul 1835 - DGS(106890372)|Bautismos 17 sep 1829–jul 1835 - DGS(106890372)|ES|Español|1835/1835|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|17|Bautizo
106890373|106890373|106890373_000001|Bautismos 18 sep 1832–20 dic 1839 - DGS(106890373)|Bautismos 18 sep 1832–20 dic 1839 - DGS(106890373)|ES|Español|1839/1839|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautizo|18|Bautizo
