uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
004188327_001_M98Q-DRN|004188327|004188327_000001|Matrimonios parroquiales_1909, - DGS(004188327)|Matrimonios parroquiales_1909, - DGS(004188327)|ES|Español|1909|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-1898—1909|
004188327_002_M98Q-DRF|004188327|004188327_000002|Matrimonios parroquiales_1921, - DGS(004188327)|Matrimonios parroquiales_1921, - DGS(004188327)|ES|Español|1921|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-1909—1921|
005412708_001_M99X-YTW|005412708|005412708_000001|Bautismos_1932,- - DGS(005412708)|Bautismos_1932,- - DGS(005412708)|ES|Español|1932|San José, Bellavista, Callao, Callao, Perú|Bautismos|-|Bautismos-ene 1916—may 1932|
005412708_002_M99X-YT4|005412708|005412708_000002|Matrimonios parroquiales_1921,- - DGS(005412708)|Matrimonios parroquiales_1921,- - DGS(005412708)|ES|Español|1921|San José, Bellavista, Callao, Callao, Perú|Matrimonios parroquiales|-|Matrimonios parroquiales-1916—1921|
005412708_003_M99X-YTH|005412708|005412708_000003|Defunciones parroquiales_1922,Libro 1 - DGS(005412708)|Defunciones parroquiales_1922,Libro 1 - DGS(005412708)|ES|Español|1922|San José, Bellavista, Callao, Callao, Perú|Defunciones parroquiales|Libro 1|Defunciones parroquiales-ene 1916—ene 1922|
005413005|005413005|005413005_000001|Bautismos_1871, - DGS(005413005)|Bautismos_1871, - DGS(005413005)|ES|Español|1871|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-abr 1865—ene 1871|
005413006_001_M9K8-YHN|005413006|005413006_000001|Bautismos_1871, - DGS(005413006)|Bautismos_1871, - DGS(005413006)|ES|Español|1871|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-dic 1870—mar 1871|
005413006_002_M9K8-YHF|005413006|005413006_000002|Bautismos_1874, - DGS(005413006)|Bautismos_1874, - DGS(005413006)|ES|Español|1874|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-abr 1871—jul 1874|
005413006_003_M9K8-YHJ|005413006|005413006_000003|Bautismos_1876, - DGS(005413006)|Bautismos_1876, - DGS(005413006)|ES|Español|1876|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-jul 1874—oct 1876|
005413007_001_M984-DC5|005413007|005413007_000001|Bautismos_1876, - DGS(005413007)|Bautismos_1876, - DGS(005413007)|ES|Español|1876|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-oct 1876—dic 1876|
005413007_002_M984-DCR|005413007|005413007_000002|Bautismos_1879, - DGS(005413007)|Bautismos_1879, - DGS(005413007)|ES|Español|1879|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-dic 1876—dic 1879|
005413007_003_M984-DCT|005413007|005413007_000003|Bautismos_1881, - DGS(005413007)|Bautismos_1881, - DGS(005413007)|ES|Español|1881|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-ene 1880—jul 1881|
005413007_004_M984-DCY|005413007|005413007_000004|Bautismos_1883, - DGS(005413007)|Bautismos_1883, - DGS(005413007)|ES|Español|1883|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-21 jul 1881—3 jun 1883|
005413008_001_M98W-GC5|005413008|005413008_000001|Bautismos_1884, - DGS(005413008)|Bautismos_1884, - DGS(005413008)|ES|Español|1884|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-jun 1883—jul 1884|
005413008_002_M98W-GCP|005413008|005413008_000002|Bautismos_1886, - DGS(005413008)|Bautismos_1886, - DGS(005413008)|ES|Español|1886|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-jul 1884—dic 1886|
005413008_003_M98W-GCR|005413008|005413008_000003|Bautismos_1891, - DGS(005413008)|Bautismos_1891, - DGS(005413008)|ES|Español|1891|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-dic 1886—feb 1891|
005413009_001_M98W-59H|005413009|005413009_000001|Bautismos_1892, - DGS(005413009)|Bautismos_1892, - DGS(005413009)|ES|Español|1892|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-1 mar 1891—1 may 1892|
005413009_002_M98W-594|005413009|005413009_000002|Bautismos_1894, - DGS(005413009)|Bautismos_1894, - DGS(005413009)|ES|Español|1894|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-1 may 1892—15 may 1894|
005413009_003_M98W-59C|005413009|005413009_000003|Bautismos_1896, - DGS(005413009)|Bautismos_1896, - DGS(005413009)|ES|Español|1896|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-16 may 1894—12 abr 1896|
005413009_004_M98W-59Z|005413009|005413009_000004|Bautismos_1898, - DGS(005413009)|Bautismos_1898, - DGS(005413009)|ES|Español|1898|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-14 abr 1896—21 feb 1898|
005413010_001_M98W-PNH|005413010|005413010_000001|Bautismos_1899, - DGS(005413010)|Bautismos_1899, - DGS(005413010)|ES|Español|1899|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-feb 1898—ago 1899|
005413010_002_M98W-PNC|005413010|005413010_000002|Bautismos_1901, - DGS(005413010)|Bautismos_1901, - DGS(005413010)|ES|Español|1901|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-12 ago 1899—26 nov 1901|
005413010_003_M98W-PNZ|005413010|005413010_000003|Bautismos_1904, - DGS(005413010)|Bautismos_1904, - DGS(005413010)|ES|Español|1904|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-30 nov 1901—31 ene 1904|
005413010_004_M98W-PN8|005413010|005413010_000004|Bautismos_1905, - DGS(005413010)|Bautismos_1905, - DGS(005413010)|ES|Español|1905|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-feb 1904—oct 1905|
005413011_001_M98W-59G|005413011|005413011_000001|Bautismos_1906, - DGS(005413011)|Bautismos_1906, - DGS(005413011)|ES|Español|1906|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-oct 1905—ago 1906|
005413011_002_M98W-59L|005413011|005413011_000002|Bautismos_1908, - DGS(005413011)|Bautismos_1908, - DGS(005413011)|ES|Español|1908|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-ago 1906—oct 1908|
005413011_003_M98W-59P|005413011|005413011_000003|Bautismos_1911, - DGS(005413011)|Bautismos_1911, - DGS(005413011)|ES|Español|1911|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-oct 1908—may 1911|
005413012_001_M98W-5QR|005413012|005413012_000001|Bautismos_1913, - DGS(005413012)|Bautismos_1913, - DGS(005413012)|ES|Español|1913|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-may 1911—ene 1913|
005413012_002_M98W-5QT|005413012|005413012_000002|Bautismos_1916, - DGS(005413012)|Bautismos_1916, - DGS(005413012)|ES|Español|1916|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-6 ene 1913—24 dic 1916|
005413013_001_M98W-5QY|005413013|005413013_000001|Bautismos_1916, - DGS(005413013)|Bautismos_1916, - DGS(005413013)|ES|Español|1916|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-nov 1915—dic 1916|
005413013_002_M98W-5QB|005413013|005413013_000002|Bautismos_1920, - DGS(005413013)|Bautismos_1920, - DGS(005413013)|ES|Español|1920|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-dic 1916—may 1920|
005413014_001_M98W-595|005413014|005413014_000001|Bautismos_1920, - DGS(005413014)|Bautismos_1920, - DGS(005413014)|ES|Español|1920|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-may 1920—nov 1920|
005413014_002_M98W-59R|005413014|005413014_000002|Bautismos_1931, - DGS(005413014)|Bautismos_1931, - DGS(005413014)|ES|Español|1931|Santa Rosa, Callao, Callao, Perú|Bautismos||Bautismos-nov 1920—dic 1931|
005413015_001_M98W-PND|005413015|005413015_000001|Matrimonios parroquiales_1875, - DGS(005413015)|Matrimonios parroquiales_1875, - DGS(005413015)|ES|Español|1875|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-5 abr 1865—5 jul 1875|
005413015_002_M98W-PN6|005413015|005413015_000002|Matrimonios parroquiales_1878, - DGS(005413015)|Matrimonios parroquiales_1878, - DGS(005413015)|ES|Español|1878|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-1875—1878|
005413016_001_M98W-5Q1|005413016|005413016_000001|Matrimonios parroquiales_1879, - DGS(005413016)|Matrimonios parroquiales_1879, - DGS(005413016)|ES|Español|1879|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-3 ene 1878—30 dic 1879|
005413016_002_M98W-57M|005413016|005413016_000002|Matrimonios parroquiales_1882, - DGS(005413016)|Matrimonios parroquiales_1882, - DGS(005413016)|ES|Español|1882|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-1880—1882|
005413016_003_M98W-579|005413016|005413016_000003|Matrimonios parroquiales_1886, - DGS(005413016)|Matrimonios parroquiales_1886, - DGS(005413016)|ES|Español|1886|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-1882—1886|
005413016_004_M98W-57S|005413016|005413016_000004|Matrimonios parroquiales_1894, - DGS(005413016)|Matrimonios parroquiales_1894, - DGS(005413016)|ES|Español|1894|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-1886—1894|
005413016_005_M98W-573|005413016|005413016_000005|Matrimonios parroquiales_1898, - DGS(005413016)|Matrimonios parroquiales_1898, - DGS(005413016)|ES|Español|1898|Santa Rosa, Callao, Callao, Perú|Matrimonios parroquiales||Matrimonios parroquiales-16 ene 1895—9 sept 1898|
005413017_001_M98W-5S9|005413017|005413017_000001|Defunciones parroquiales_1872, - DGS(005413017)|Defunciones parroquiales_1872, - DGS(005413017)|ES|Español|1872|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-5 abr 1865—21 nov 1872|
005413017_002_M98W-5SM|005413017|005413017_000002|Defunciones parroquiales_1877, - DGS(005413017)|Defunciones parroquiales_1877, - DGS(005413017)|ES|Español|1877|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-11 nov 1872—7 mar 1877|
005413017_003_M98W-5SS|005413017|005413017_000003|Defunciones parroquiales_1879, - DGS(005413017)|Defunciones parroquiales_1879, - DGS(005413017)|ES|Español|1879|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-16 mar 1877—30 dic 1879|
005413018_001_M98W-PNF|005413018|005413018_000001|Defunciones parroquiales_1882, - DGS(005413018)|Defunciones parroquiales_1882, - DGS(005413018)|ES|Español|1882|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-2 ene 1880—28 feb 1882|
005413018_002_M98W-PNX|005413018|005413018_000002|Defunciones parroquiales_1894, - DGS(005413018)|Defunciones parroquiales_1894, - DGS(005413018)|ES|Español|1894|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-2 mar 1882—19 jun 1894|
005413018_003_M98W-PNN|005413018|005413018_000003|Defunciones parroquiales_1886, - DGS(005413018)|Defunciones parroquiales_1886, - DGS(005413018)|ES|Español|1886|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-20 jun 1884—12 may 1886|
005413018_004_M98W-PNJ|005413018|005413018_000004|Defunciones parroquiales_1887, - DGS(005413018)|Defunciones parroquiales_1887, - DGS(005413018)|ES|Español|1887|Santa Rosa, Callao, Callao, Perú|Defunciones parroquiales||Defunciones parroquiales-12 mar 1886—7 dic 1887|
