uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106890344|106890344|106890344_000001|Bautismos_1_aprox. 15 abr 1728–aprox. 3 jun 1737,Vol 1 - DGS(106890344)|Bautismos_1_aprox. 15 abr 1728–aprox. 3 jun 1737,Vol 1 - DGS(106890344)|ES|Español|1737|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 1|Bautismos-1728—1737|
106890345|106890345|106890345_000001|Bautismos_2_12 dic 1745–28 dic 1754,Vol 2 - DGS(106890345)|Bautismos_2_12 dic 1745–28 dic 1754,Vol 2 - DGS(106890345)|ES|Español|1754|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 2|Bautismos-dic 1745—dic 1754|
106890346|106890346|106890346_000001|Bautismos_3_30 dic 1754–13 ene 1765,Vol 3 - DGS(106890346)|Bautismos_3_30 dic 1754–13 ene 1765,Vol 3 - DGS(106890346)|ES|Español|1765|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 3|Bautismos-dic 1754—ene 1765|
106890347|106890347|106890347_000001|Bautismos_4_18 ene 1765–jul 1768,Vol 4 - DGS(106890347)|Bautismos_4_18 ene 1765–jul 1768,Vol 4 - DGS(106890347)|ES|Español|1768|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 4|Bautismos-ene 1765—jul 1768|
106890348|106890348|106890348_000001|Bautismos_5_1 abr 1765–18 may 1775,Vol 5 - DGS(106890348)|Bautismos_5_1 abr 1765–18 may 1775,Vol 5 - DGS(106890348)|ES|Español|1775|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 5|Bautismos-abr 1769—may 1775|
106890349|106890349|106890349_000001|Bautismos_6_8 jun 1775–30 dic 1779,Vol 6 - DGS(106890349)|Bautismos_6_8 jun 1775–30 dic 1779,Vol 6 - DGS(106890349)|ES|Español|1779|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 6|Bautismos-jun 1775—dic 1779|
106890350|106890350|106890350_000001|Bautismos_7_1 ene 1780–29 may 1791,Vol 7 - DGS(106890350)|Bautismos_7_1 ene 1780–29 may 1791,Vol 7 - DGS(106890350)|ES|Español|1791|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 7|Bautismos-ene 1780—may 1791|
106890351|106890351|106890351_000001|Bautismos_8_29 may 1791–31 oct 1794,Vol 8 - DGS(106890351)|Bautismos_8_29 may 1791–31 oct 1794,Vol 8 - DGS(106890351)|ES|Español|1794|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 8|Bautismos-may 1791—oct 1794|
106890352|106890352|106890352_000001|Bautismos_9_2 feb 1798–20 sep 1801,Vol 9 - DGS(106890352)|Bautismos_9_2 feb 1798–20 sep 1801,Vol 9 - DGS(106890352)|ES|Español|1801|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 9|Bautismos-feb 1798—sept 1801|
106890353|106890353|106890353_000001|Bautismos_10_27 sep 1801–22 dic 1807,Vol 10 - DGS(106890353)|Bautismos_10_27 sep 1801–22 dic 1807,Vol 10 - DGS(106890353)|ES|Español|1807|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 10|Bautismos-sept 1801—feb 1807|
106890354|106890354|106890354_000001|Bautismos_11_31 dic 1811–5 mar 1815,Vol 11 - DGS(106890354)|Bautismos_11_31 dic 1811–5 mar 1815,Vol 11 - DGS(106890354)|ES|Español|1815|San Juan Bautista, Coporaque, Coporaque, Espinar, Cusco, Perú|Bautismos|Vol 11|Bautismos-dic 1811—mar 1815|
