uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
106150940|106150940|106150940_000001|Matrimonios_1_1977–1981,Vol 1 - DGS(106150940)|Matrimonios_1_1977–1981,Vol 1 - DGS(106150940)|ES|Español|1981|Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú|Informaciones matrimoniales|Vol 1|Informaciones matrimoniales-1981|
106150941|106150941|106150941_000001|Matrimonios_2_1982–1983,Vol 2 - DGS(106150941)|Matrimonios_2_1982–1983,Vol 2 - DGS(106150941)|ES|Español|1983|Santa Rosa, La Yarada-Los Palos, Tacna, Tacna, Perú|Informaciones matrimoniales|Vol 2|Informaciones matrimoniales-1983|
106150942|106150942|106150942_000001|Matrimonios_3_1984–1985,Vol 3 - DGS(106150942)|Matrimonios_3_1984–1985,Vol 3 - DGS(106150942)|ES|Español|1985|Santa Rosa, La Yarada-Los Palos, Tacna, Tacna, Perú|Informaciones matrimoniales|Vol 3|Informaciones matrimoniales-1985|
106150943|106150943|106150943_000001|Matrimonios_4_1986–1989,4 (Las imágenes están fuera de orden) - DGS(106150943)|Matrimonios_4_1986–1989,4 (Las imágenes están fuera de orden) - DGS(106150943)|ES|Español|1989|Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú|Informaciones matrimoniales|4 (Las imágenes están fuera de orden)|Informaciones matrimoniales-1986—1989|
106150944|106150944|106150944_000001|Matrimonios_5_1987–1989,Vol 5 - DGS(106150944)|Matrimonios_5_1987–1989,Vol 5 - DGS(106150944)|ES|Español|1989|Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú|Informaciones matrimoniales|Vol 5|Informaciones matrimoniales-1987—1989|
106150945|106150945|106150945_000001|Matrimonios_6_aprox. 1981–1990,6 (Las imágenes están fuera de orden) - DGS(106150945)|Matrimonios_6_aprox. 1981–1990,6 (Las imágenes están fuera de orden) - DGS(106150945)|ES|Español|1992|Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú|Informaciones matrimoniales|6 (Las imágenes están fuera de orden)|Informaciones matrimoniales-1990—1992|
106150946|106150946|106150946_000001|Matrimonios_SN_aprox. 1989–1990,SN (Las imágenes están fuera de orden) - DGS(106150946)|Matrimonios_SN_aprox. 1989–1990,SN (Las imágenes están fuera de orden) - DGS(106150946)|ES|Español|1989|San Pedro Apóstol, Tacna, Tacna, Tacna, Tacna, Perú|Informaciones matrimoniales|SN (Las imágenes están fuera de orden)|Informaciones matrimoniales-1973—1989|
106150947|106150947|106150947_000001|Bautismos_3_1980–1982,3 (Las imágenes están en orden cronológico inverso)  - DGS(106150947)|Bautismos_3_1980–1982,3 (Las imágenes están en orden cronológico inverso)  - DGS(106150947)|ES|Español|1983|Huanuara, Candarave, Tacna, Perú|Bautismos|3 (Las imágenes están en orden cronológico inverso) |Bautismos-ago 1982—may 1983|
106150948|106150948|106150948_000001|Bautismos_2_1977–1979,Vol 2 - DGS(106150948)|Bautismos_2_1977–1979,Vol 2 - DGS(106150948)|ES|Español|1979|Huanuara, Candarave, Tacna, Perú|Bautismos|Vol 2|Bautismos-1977—1979|
106150949|106150949|106150949_000001|Bautismos_1_1969–1977,Vol 1 - DGS(106150949)|Bautismos_1_1969–1977,Vol 1 - DGS(106150949)|ES|Español|1977|Huanuara, Candarave, Tacna, Perú|Bautismos|Vol 1|Bautismos-1969—1977|
