uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
004188327_001_M98Q-DRN|4188327|004188327_000001|Matrimonios parroquiales 1909 - DGS(004188327)|Matrimonios parroquiales 1909 - DGS(004188327)|ES|Español|1909/1909|Santa Rosa, Callao, Callao, Perú|Matrimonio||Matrimonio
004188327_002_M98Q-DRF|4188327|004188327_000002|Matrimonios parroquiales 1921 - DGS(004188327)|Matrimonios parroquiales 1921 - DGS(004188327)|ES|Español|1921/1921|Santa Rosa, Callao, Callao, Perú|Matrimonio||Matrimonio
005412708_001_M99X-YTW|5412708|005412708_000001|Bautismos 1932 - DGS(005412708)|Bautismos 1932 - DGS(005412708)|ES|Español|1932/1932|San José, Bellavista, Callao, Callao, Perú|Bautizo||Bautizo
005412708_002_M99X-YT4|5412708|005412708_000002|Matrimonios parroquiales 1921 - DGS(005412708)|Matrimonios parroquiales 1921 - DGS(005412708)|ES|Español|1921/1921|San José, Bellavista, Callao, Callao, Perú|Matrimonio||Matrimonio
005412708_003_M99X-YTH|5412708|005412708_000003|Defunciones parroquiales 1922 - DGS(005412708)|Defunciones parroquiales 1922 - DGS(005412708)|ES|Español|1922/1922|San José, Bellavista, Callao, Callao, Perú|Defunción|1|Defunción
005413005|5413005|005413005_000001|Bautismos 1871 - DGS(005413005)|Bautismos 1871 - DGS(005413005)|ES|Español|1871/1871|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413006_001_M9K8-YHN|5413006|005413006_000001|Bautismos 1871 - DGS(005413006)|Bautismos 1871 - DGS(005413006)|ES|Español|1871/1871|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413006_002_M9K8-YHF|5413006|005413006_000002|Bautismos 1874 - DGS(005413006)|Bautismos 1874 - DGS(005413006)|ES|Español|1874/1874|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413006_003_M9K8-YHJ|5413006|005413006_000003|Bautismos 1876 - DGS(005413006)|Bautismos 1876 - DGS(005413006)|ES|Español|1876/1876|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413007_001_M984-DC5|5413007|005413007_000001|Bautismos 1876 - DGS(005413007)|Bautismos 1876 - DGS(005413007)|ES|Español|1876/1876|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413007_002_M984-DCR|5413007|005413007_000002|Bautismos 1879 - DGS(005413007)|Bautismos 1879 - DGS(005413007)|ES|Español|1879/1879|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413007_003_M984-DCT|5413007|005413007_000003|Bautismos 1881 - DGS(005413007)|Bautismos 1881 - DGS(005413007)|ES|Español|1881/1881|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413007_004_M984-DCY|5413007|005413007_000004|Bautismos 1883 - DGS(005413007)|Bautismos 1883 - DGS(005413007)|ES|Español|1883/1883|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413008_001_M98W-GC5|5413008|005413008_000001|Bautismos 1884 - DGS(005413008)|Bautismos 1884 - DGS(005413008)|ES|Español|1884/1884|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
005413008_002_M98W-GCP|5413008|005413008_000002|Bautismos 1886 - DGS(005413008)|Bautismos 1886 - DGS(005413008)|ES|Español|1886/1886|Santa Rosa, Callao, Callao, Perú|Bautizo||Bautizo
