uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|event_type
5157845|5157845|005157845_000001|Nacimientos 1978 - DGS(005157845)|Nacimientos 1978 - DGS(005157845)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157846|5157846|005157846_000001|Nacimientos 1978 - DGS(005157846)|Nacimientos 1978 - DGS(005157846)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157847|5157847|005157847_000001|Nacimientos 1978 - DGS(005157847)|Nacimientos 1978 - DGS(005157847)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157848|5157848|005157848_000001|Nacimientos 1986 - DGS(005157848)|Nacimientos 1986 - DGS(005157848)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157849|5157849|005157849_000001|Nacimientos 1978 - DGS(005157849)|Nacimientos 1978 - DGS(005157849)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157850|5157850|005157850_000001|Nacimientos 1978 - DGS(005157850)|Nacimientos 1978 - DGS(005157850)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157851|5157851|005157851_000001|Nacimientos 1978 - DGS(005157851)|Nacimientos 1978 - DGS(005157851)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157852|5157852|005157852_000001|Nacimientos 1986 - DGS(005157852)|Nacimientos 1986 - DGS(005157852)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157853|5157853|005157853_000001|Nacimientos 1978 - DGS(005157853)|Nacimientos 1978 - DGS(005157853)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157854|5157854|005157854_000001|Nacimientos 1978 - DGS(005157854)|Nacimientos 1978 - DGS(005157854)|ES|Español|1978/1978|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157855|5157855|005157855_000001|Nacimientos 1979 - DGS(005157855)|Nacimientos 1979 - DGS(005157855)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157856|5157856|005157856_000001|Nacimientos 1979 - DGS(005157856)|Nacimientos 1979 - DGS(005157856)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157857|5157857|005157857_000001|Nacimientos 1979 - DGS(005157857)|Nacimientos 1979 - DGS(005157857)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157858|5157858|005157858_000001|Nacimientos 1979 - DGS(005157858)|Nacimientos 1979 - DGS(005157858)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157859|5157859|005157859_000001|Nacimientos 1978 - DGS(005157859)|Nacimientos 1978 - DGS(005157859)|ES|Español|1978/1978|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157860|5157860|005157860_000001|Nacimientos 1986 - DGS(005157860)|Nacimientos 1986 - DGS(005157860)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157861|5157861|005157861_000001|Nacimientos 1979 - DGS(005157861)|Nacimientos 1979 - DGS(005157861)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157862|5157862|005157862_000001|Nacimientos 1979 - DGS(005157862)|Nacimientos 1979 - DGS(005157862)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157863|5157863|005157863_000001|Nacimientos 1979 - DGS(005157863)|Nacimientos 1979 - DGS(005157863)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157864|5157864|005157864_000001|Nacimientos 1979 - DGS(005157864)|Nacimientos 1979 - DGS(005157864)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157865|5157865|005157865_000001|Nacimientos 1979 - DGS(005157865)|Nacimientos 1979 - DGS(005157865)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157866|5157866|005157866_000001|Nacimientos 1979 - DGS(005157866)|Nacimientos 1979 - DGS(005157866)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157867|5157867|005157867_000001|Nacimientos 1979 - DGS(005157867)|Nacimientos 1979 - DGS(005157867)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157868|5157868|005157868_000001|Nacimientos 1979 - DGS(005157868)|Nacimientos 1979 - DGS(005157868)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157869|5157869|005157869_000001|Nacimientos 1979 - DGS(005157869)|Nacimientos 1979 - DGS(005157869)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157870|5157870|005157870_000001|Nacimientos 1979 - DGS(005157870)|Nacimientos 1979 - DGS(005157870)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157871|5157871|005157871_000001|Nacimientos 1979 - DGS(005157871)|Nacimientos 1979 - DGS(005157871)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157872|5157872|005157872_000001|Nacimientos 1979 - DGS(005157872)|Nacimientos 1979 - DGS(005157872)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157873|5157873|005157873_000001|Nacimientos 1979 - DGS(005157873)|Nacimientos 1979 - DGS(005157873)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157874|5157874|005157874_000001|Nacimientos 1979 - DGS(005157874)|Nacimientos 1979 - DGS(005157874)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157875|5157875|005157875_000001|Nacimientos 1979 - DGS(005157875)|Nacimientos 1979 - DGS(005157875)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157876|5157876|005157876_000001|Nacimientos 1979 - DGS(005157876)|Nacimientos 1979 - DGS(005157876)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157877|5157877|005157877_000001|Nacimientos 1979 - DGS(005157877)|Nacimientos 1979 - DGS(005157877)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157878|5157878|005157878_000001|Nacimientos 1979 - DGS(005157878)|Nacimientos 1979 - DGS(005157878)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157879|5157879|005157879_000001|Nacimientos 1979 - DGS(005157879)|Nacimientos 1979 - DGS(005157879)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157880|5157880|005157880_000001|Nacimientos 1979 - DGS(005157880)|Nacimientos 1979 - DGS(005157880)|ES|Español|1979/1979|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157881|5157881|005157881_000001|Nacimientos 1979 - DGS(005157881)|Nacimientos 1979 - DGS(005157881)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157882|5157882|005157882_000001|Nacimientos 1979 - DGS(005157882)|Nacimientos 1979 - DGS(005157882)|ES|Español|1979/1979|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157883|5157883|005157883_000001|Nacimientos 1986 - DGS(005157883)|Nacimientos 1986 - DGS(005157883)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157884|5157884|005157884_000001|Nacimientos 1980 - DGS(005157884)|Nacimientos 1980 - DGS(005157884)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157885|5157885|005157885_000001|Nacimientos 1980 - DGS(005157885)|Nacimientos 1980 - DGS(005157885)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157886|5157886|005157886_000001|Nacimientos 1980 - DGS(005157886)|Nacimientos 1980 - DGS(005157886)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157887|5157887|005157887_000001|Nacimientos 1980 - DGS(005157887)|Nacimientos 1980 - DGS(005157887)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157888|5157888|005157888_000001|Nacimientos 1980 - DGS(005157888)|Nacimientos 1980 - DGS(005157888)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157889|5157889|005157889_000001|Nacimientos 1986 - DGS(005157889)|Nacimientos 1986 - DGS(005157889)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157890|5157890|005157890_000001|Nacimientos 1980 - DGS(005157890)|Nacimientos 1980 - DGS(005157890)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157891|5157891|005157891_000001|Nacimientos 1980 - DGS(005157891)|Nacimientos 1980 - DGS(005157891)|ES|Español|1980/1980|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157892|5157892|005157892_000001|Nacimientos 1980 - DGS(005157892)|Nacimientos 1980 - DGS(005157892)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157893|5157893|005157893_000001|Nacimientos 1980 - DGS(005157893)|Nacimientos 1980 - DGS(005157893)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157895|5157895|005157895_000001|Nacimientos 1986 - DGS(005157895)|Nacimientos 1986 - DGS(005157895)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157897|5157897|005157897_000001|Nacimientos 1980 - DGS(005157897)|Nacimientos 1980 - DGS(005157897)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157899|5157899|005157899_000001|Nacimientos 1980 - DGS(005157899)|Nacimientos 1980 - DGS(005157899)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157901|5157901|005157901_000001|Nacimientos 1980 - DGS(005157901)|Nacimientos 1980 - DGS(005157901)|ES|Español|1980/1980|Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
5157903|5157903|005157903_000001|Nacimientos 1986 - DGS(005157903)|Nacimientos 1986 - DGS(005157903)|ES|Español|1986/1986|Chiclayo, Chiclayo, Lambayeque, Perú|Nacimiento|Nacimiento
