uad      | dgs      | folder          | archive_reference                                                           | record_title                                                                | language_title| language| dates    | locality                                                                                                                   | record_type | volume   | event_type
106150940| 106150940| 106150940_000001| Matrimonios 1 1977–1981 - DGS(106150940)                                    | Matrimonios 1 1977–1981 - DGS(106150940)                                    | ES            | Español | 1981/1981| Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú                                                                       | Matrimonio  | 1        | Matrimonio
106150941| 106150941| 106150941_000001| Matrimonios 2 1982–1983 - DGS(106150941)                                    | Matrimonios 2 1982–1983 - DGS(106150941)                                    | ES            | Español | 1983/1983| Santa Rosa, La Yarada-Los Palos, Tacna, Tacna, Perú                                                                        | Matrimonio  | 2        | Matrimonio
106150942| 106150942| 106150942_000001| Matrimonios 3 1984–1985 - DGS(106150942)                                    | Matrimonios 3 1984–1985 - DGS(106150942)                                    | ES            | Español | 1985/1985| Santa Rosa, La Yarada-Los Palos, Tacna, Tacna, Perú                                                                        | Matrimonio  | 3        | Matrimonio
106150943| 106150943| 106150943_000001| Matrimonios 4 1986–1989 - DGS(106150943)                                    | Matrimonios 4 1986–1989 - DGS(106150943)                                    | ES            | Español | 1989/1989| Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú                                                                       | Matrimonio  |          | Matrimonio
106150944| 106150944| 106150944_000001| Matrimonios 5 1987–1989 - DGS(106150944)                                    | Matrimonios 5 1987–1989 - DGS(106150944)                                    | ES            | Español | 1989/1989| Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú                                                                       | Matrimonio  | 5        | Matrimonio
106150945| 106150945| 106150945_000001| Matrimonios 6 aprox. 1981–1990 - DGS(106150945)                             | Matrimonios 6 aprox. 1981–1990 - DGS(106150945)                             | ES            | Español | 1992/1992| Santa Rosa de Lima, Tacna, Tacna, Tacna, Tacna, Perú                                                                       | Matrimonio  |          | Matrimonio
106150946| 106150946| 106150946_000001| Matrimonios SN aprox. 1989–1990 - DGS(106150946)                            | Matrimonios SN aprox. 1989–1990 - DGS(106150946)                            | ES            | Español | 1989/1989| San Pedro Apóstol, Tacna, Tacna, Tacna, Tacna, Perú                                                                        | Matrimonio  |          | Matrimonio
106150947| 106150947| 106150947_000001| Bautismos 3 1980–1982 - DGS(106150947)                                      | Bautismos 3 1980–1982 - DGS(106150947)                                      | ES            | Español | 1983/1983| Huanuara, Candarave, Tacna, Perú                                                                                           | Bautizo     |          | Bautizo
106150948| 106150948| 106150948_000001| Bautismos 2 1977–1979 - DGS(106150948)                                      | Bautismos 2 1977–1979 - DGS(106150948)                                      | ES            | Español | 1979/1979| Huanuara, Candarave, Tacna, Perú                                                                                           | Bautizo     | 2        | Bautizo
106150949| 106150949| 106150949_000001| Bautismos 1 1969–1977 - DGS(106150949)                                      | Bautismos 1 1969–1977 - DGS(106150949)                                      | ES            | Español | 1977/1977| Huanuara, Candarave, Tacna, Perú                                                                                           | Bautizo     | 1        | Bautizo
106150977| 106150977| 106150977_000001| Bautismos 27 30 ago 1929–28 feb 1932 - DGS(106150977)                       | Bautismos 27 30 ago 1929–28 feb 1932 - DGS(106150977)                       | ES            | Español | 1932/1932| Tacna, Tacna, Tacna, Perú                                                                                                  | Bautizo     | 27       | Bautizo
106150978| 106150978| 106150978_000001| Bautismos 28 4 sep 1929–18 abr 1934 - DGS(106150978)                        | Bautismos 28 4 sep 1929–18 abr 1934 - DGS(106150978)                        | ES            | Español | 1934/1934| Tacna, Tacna, Tacna, Perú                                                                                                  | Bautizo     | 28       | Bautizo
106150979| 106150979| 106150979_000001| Bautismos 29 19 abr 1934–20 dic 1936 - DGS(106150979)                       | Bautismos 29 19 abr 1934–20 dic 1936 - DGS(106150979)                       | ES            | Español | 1936/1936| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 29       | Bautizo
106150980| 106150980| 106150980_000001| Bautismos 30 20 dic 1936–8 may 1938 - DGS(106150980)                        | Bautismos 30 20 dic 1936–8 may 1938 - DGS(106150980)                        | ES            | Español | 1938/1938| Tacna, Tacna, Tacna, Perú                                                                                                  | Bautizo     | 30       | Bautizo
106150981| 106150981| 106150981_000001| Bautismos 31 8 may 1938–18 mar 1940 - DGS(106150981)                        | Bautismos 31 8 may 1938–18 mar 1940 - DGS(106150981)                        | ES            | Español | 1940/1940| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 31       | Bautizo
106150982| 106150982| 106150982_000001| Bautismos 32 19 mar 1940–9 ago 1942 - DGS(106150982)                        | Bautismos 32 19 mar 1940–9 ago 1942 - DGS(106150982)                        | ES            | Español | 1942/1942| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 32       | Bautizo
106150983| 106150983| 106150983_000001| Bautismos 33 15 ago 1942–18 feb 1945 - DGS(106150983)                       | Bautismos 33 15 ago 1942–18 feb 1945 - DGS(106150983)                       | ES            | Español | 1945/1945| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 33       | Bautizo
106150984| 106150984| 106150984_000001| Bautismos 34 19 feb–9 dic 1945 - DGS(106150984)                             | Bautismos 34 19 feb–9 dic 1945 - DGS(106150984)                             | ES            | Español | 1945/1945| San Pedro Apóstol, Tacna, Tacna, Tacna, Tacna, Perú                                                                        | Bautizo     | 34       | Bautizo
106150985| 106150985| 106150985_000001| Bautismos 35 11 dic 1945–26 dic 1946 - DGS(106150985)                       | Bautismos 35 11 dic 1945–26 dic 1946 - DGS(106150985)                       | ES            | Español | 1946/1946| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 35       | Bautizo
106150986| 106150986| 106150986_000001| Bautismos 36 1 ene 1947–31 dic 1948 - DGS(106150986)                        | Bautismos 36 1 ene 1947–31 dic 1948 - DGS(106150986)                        | ES            | Español | 1948/1948| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 36       | Bautizo
106150987| 106150987| 106150987_000001| Bautismos 37 1 ene 1949–30 sep 1950 - DGS(106150987)                        | Bautismos 37 1 ene 1949–30 sep 1950 - DGS(106150987)                        | ES            | Español | 1950/1950| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 37       | Bautizo
106150988| 106150988| 106150988_000001| Bautismos 38 1 ene 1949–6 ago 1950 - DGS(106150988)                         | Bautismos 38 1 ene 1949–6 ago 1950 - DGS(106150988)                         | ES            | Español | 1950/1950| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 38       | Bautizo
106150989| 106150989| 106150989_000001| Bautismos 39 2 oct 1950–15 mar 1953 - DGS(106150989)                        | Bautismos 39 2 oct 1950–15 mar 1953 - DGS(106150989)                        | ES            | Español | 1952/1952| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 39       | Bautizo
106150990| 106150990| 106150990_000001| Bautismos 41 2 ago 1952–24 abr 1954 - DGS(106150990)                        | Bautismos 41 2 ago 1952–24 abr 1954 - DGS(106150990)                        | ES            | Español | 1954/1954| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 41       | Bautizo
106150991| 106150991| 106150991_000001| Bautismos 42 25 abr 1954–19 dic 1956 - DGS(106150991)                       | Bautismos 42 25 abr 1954–19 dic 1956 - DGS(106150991)                       | ES            | Español | 1956/1956| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 42       | Bautizo
106150992| 106150992| 106150992_000001| Bautismos 43 20 dic 1956–28 may 1961 - DGS(106150992)                       | Bautismos 43 20 dic 1956–28 may 1961 - DGS(106150992)                       | ES            | Español | 1959/1959| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 43       | Bautizo
106150993| 106150993| 106150993_000001| Bautismos 44 1 ene 1960–14 oct 1961 - DGS(106150993)                        | Bautismos 44 1 ene 1960–14 oct 1961 - DGS(106150993)                        | ES            | Español | 1961/1961| Sagrario, Lima, Lima, Perú                                                                                                 | Bautizo     | 44       | Bautizo
106150994| 106150994| 106150994_000001| Bautismos 45 14 oct 1961–6 dic 1964 - DGS(106150994)                        | Bautismos 45 14 oct 1961–6 dic 1964 - DGS(106150994)                        | ES            | Español | 1964/1964| Sagrario, Lima, Lima, Perú                                                                                                 | Bautizo     | 45       | Bautizo
106150995| 106150995| 106150995_000001| Bautismos 46 7 dic 1964–2 abr 1967 - DGS(106150995)                         | Bautismos 46 7 dic 1964–2 abr 1967 - DGS(106150995)                         | ES            | Español | 1967/1967| Sagrario, Lima, Lima, Perú                                                                                                 | Bautizo     | 46       | Bautizo
106150996| 106150996| 106150996_000001| Bautismos 47 2 abr 1967–5 nov 1973 - DGS(106150996)                         | Bautismos 47 2 abr 1967–5 nov 1973 - DGS(106150996)                         | ES            | Español | 1974/1974| Sagrario, Lima, Lima, Perú                                                                                                 | Bautizo     | 47       | Bautizo
106150997| 106150997| 106150997_000001| Bautismos 48 16 mar 1974–19 abr 1986 - DGS(106150997)                       | Bautismos 48 16 mar 1974–19 abr 1986 - DGS(106150997)                       | ES            | Español | 1986/1986| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 48       | Bautizo
106150998| 106150998| 106150998_000001| Bautismos 49 16 mar 1986–19 abr 1993 - DGS(106150998)                       | Bautismos 49 16 mar 1986–19 abr 1993 - DGS(106150998)                       | ES            | Español | 1993/1993| Tacna, Tacna, Tacna, Tacna, Perú                                                                                           | Bautizo     | 49       | Bautizo
